InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,InstanceID,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,696446.6314949354,696446.6314950968,638570.3831181556,769839.3162806976,0.3456307380171452,3.4523717856045975e-7,2.031652700515,56.20307683944702,35.85
1,Drahi_1.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,597680.6779933928,597680.6779934416,492498.62224958977,722155.1276472735,0.24634315871928872,9.36809778040571e-7,2.0939592386346235,49.91365694999695,37.09
1,Drahi_1.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,617666.946450655,617666.9464506783,494544.9092085707,786186.8325476042,0.4093370820076207,2.8401334995182735e-5,2.9513877978129988,32.99053382873535,23.59
1,Drahi_1.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,652675.2232195437,652675.223219553,565817.8463896107,755499.8920982042,0.4041560247796146,5.895235846256228e-5,2.7122723451019977,48.280312061309814,33.67
1,Drahi_1.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3521843471137043e6,1.3521843471137644e6,1.18382691085761e6,1.4779589939571314e6,0.5778327579667536,6.839848159662835e-6,3.8514280923986712,103.37829089164734,77.61
1,Drahi_1.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4647347467026091e6,1.464734746702634e6,1.2963625319487876e6,1.6015477005784973e6,0.5618662110009964,5.1550626122583335e-6,3.515042890595218,88.8919529914856,65.32
1,Drahi_1.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3971127566392592e6,1.3971127566392862e6,1.278228688855071e6,1.5312672190481892e6,0.6287633592012115,2.372464801685591e-5,4.798930262574367,117.22136998176575,83.4
1,Drahi_1.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4113262249247269e6,1.4113262249247693e6,1.2268340767672523e6,1.6227009748954617e6,0.7414728086766837,1.1022931306151662e-5,10.192444244731895,113.6215500831604,77.84
2,Drahi_2.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,725678.6900718374,725678.6900718805,652488.5432933712,790199.7355139442,0.41106682572844744,2.001145377775157e-5,2.4490581117190464,40.777090072631836,23.08
2,Drahi_2.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,690908.5326231648,690908.5326231787,578089.8903080277,804714.5817718318,0.31504188296353985,2.0227611527285212e-5,2.007082118617101,53.12802004814148,41.97
2,Drahi_2.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,678250.0279501717,678250.0279502461,486610.23344270105,795146.0878486019,NaN,NaN,NaN,68.27375102043152,52.42
2,Drahi_2.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,621388.7162285966,621388.7162286008,535795.5592146477,736754.1510557185,0.3371295051103839,4.8096311751988396e-5,1.6339886853334211,57.524352073669434,33.74
2,Drahi_2.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4189716088357873e6,1.418971608835809e6,1.3272884489202255e6,1.50376122012302e6,0.5304697457710207,1.0421122132385045e-5,2.6006017837006716,155.3906660079956,88.53
2,Drahi_2.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4699446290499177e6,1.4699446290499251e6,1.3364208128040342e6,1.622090683348461e6,0.7377507255287867,7.5106275922427875e-6,5.306973490330379,164.0912401676178,114.7
2,Drahi_2.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.493998012724617e6,1.4939980127246615e6,1.349313981127171e6,1.5865843859742393e6,NaN,NaN,NaN,98.09908390045166,68.56
2,Drahi_2.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3910719421489036e6,1.3910719421490177e6,1.1689384160904842e6,1.5897242287394963e6,0.7155504763245495,2.9132005781229968e-5,8.851298182614574,83.55183005332947,58.24
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,605530.4558354872,605530.4558355471,497591.74923701794,753727.9133844359,0.2656059175798635,8.005055277982386e-6,1.726188881297563,67.32002687454224,51.73
3,Drahi_3.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,713355.50859061,713355.5085906162,655120.1698282302,801799.740405692,0.3438870114838687,1.4342523022265648e-6,1.6594339634292161,38.660248041152954,23.04
3,Drahi_3.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,630495.5889359012,630495.5889359035,474444.4715539251,839725.8240233951,0.4462125354617396,0.00020978723095745242,3.8116975056162707,33.965219020843506,20.23
3,Drahi_3.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,690897.4151441288,690897.4151441304,535694.653450808,854028.093003609,NaN,NaN,NaN,25.390653133392334,15.86
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3787398552424477e6,1.3787398552424822e6,1.29721731905949e6,1.4619494732134016e6,0.5184056739401591,1.3810153162126965e-7,3.4914338684876465,95.77533388137817,65.59
