Method,PctInstances,GapPctVsOpt
Exact optimal,90.0,0.0
Exact optimal,91.25,0.0
Exact optimal,92.5,0.0
Exact optimal,93.75,0.0
Exact optimal,95.0,0.0
Exact optimal,96.25,0.0
Exact optimal,97.5,0.0
Exact optimal,98.75,0.0
Exact optimal,100.0,0.0
Restricted-exact,1.25,6.23945339839338e-12
Restricted-exact,2.5,0.10559677394927913
Restricted-exact,3.75,0.3402743933570429
Restricted-exact,5.0,0.37827864370034714
Restricted-exact,6.25,0.41439893044417087
Restricted-exact,7.5,0.4446065059939386
Restricted-exact,8.75,0.46582586517371904
Restricted-exact,10.0,0.4670723869683924
Restricted-exact,11.25,0.5019428014519489
Restricted-exact,12.5,0.504037700268456
Restricted-exact,13.750000000000002,0.5578502722683787
Restricted-exact,15.0,0.5628316325299698
Restricted-exact,16.25,0.6203992505042111
Restricted-exact,17.5,0.6342642399030707
Restricted-exact,18.75,0.6514625016150299
Restricted-exact,20.0,0.6675918732981678
Restricted-exact,21.25,0.6683413696009
Restricted-exact,22.5,0.6765721225317378
Restricted-exact,23.75,0.680318421151882
Restricted-exact,25.0,0.7221816010196669
Restricted-exact,26.25,0.7250692907441403
Restricted-exact,27.500000000000004,0.7305663593602851
Restricted-exact,28.749999999999996,0.7306898650563332
Restricted-exact,30.0,0.7309416726725582
Restricted-exact,31.25,0.7371066919623637
Restricted-exact,32.5,0.7380211124611957
Restricted-exact,33.75,0.7404184714700168
Restricted-exact,35.0,0.745168397065088
Restricted-exact,36.25,0.7607657521123468
Restricted-exact,37.5,0.7614250758408492
Restricted-exact,38.75,0.7824993338974684
Restricted-exact,40.0,0.7835510934908418
Restricted-exact,41.25,0.7947641400823491
Restricted-exact,42.5,0.8028408332872772
Restricted-exact,43.75,0.8040754572432363
Restricted-exact,45.0,0.8576612292496177
Restricted-exact,46.25,0.8621905128123997
Restricted-exact,47.5,0.8643243004193613
Restricted-exact,48.75,0.8804163342899463
Restricted-exact,50.0,0.908330326644724
Restricted-exact,51.24999999999999,0.9088242136203961
Restricted-exact,52.5,0.9427328958215186
Restricted-exact,53.75,0.9539929855142182
Restricted-exact,55.00000000000001,0.9661682105874148
Restricted-exact,56.25,0.99011219263061
Restricted-exact,57.49999999999999,1.0075890358264283
Restricted-exact,58.75,1.030928725034519
Restricted-exact,60.0,1.0378563603244961
Restricted-exact,61.25000000000001,1.0398904169534484
Restricted-exact,62.5,1.0522637977517402
Restricted-exact,63.74999999999999,1.0656424514329244
Restricted-exact,65.0,1.0739260572478537
