Fairness,RecordType,House,ConditioningNode,Level,Actual,Target,Gap,NodeProbability
CPEA,conditional_equation,1,9,,189.82939701368323,189.82939701368323,0.0,0.5
CPEA,conditional_equation,2,9,,181.86421947600275,181.86421947600263,1.1368683772161603e-13,0.5
CPEA,conditional_equation,3,9,,191.50581267400287,191.50581267400287,0.0,0.5
CPEA,conditional_equation,4,9,,191.4413436236656,191.4413436236656,0.0,0.5
CPEA,conditional_equation,5,9,,186.74633718959814,186.74633718959814,0.0,0.5
CPEA,conditional_equation,1,17,,217.67640082460736,217.67640082460733,2.842170943040401e-14,0.5
CPEA,conditional_equation,2,17,,208.79744396318497,208.79744396318472,2.5579538487363607e-13,0.5
CPEA,conditional_equation,3,17,,219.5451378689953,219.5451378689953,0.0,0.5
CPEA,conditional_equation,4,17,,223.83855123820558,223.83855123820558,0.0,0.5
CPEA,conditional_equation,5,17,,218.50235905097412,218.50235905097412,0.0,0.5
