InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,inst/inst2020,true,662165.8004606502,662165.8004606554,571412.6338874805,752452.2898047507,0.3180190398806051,5.6013159384155e-6,1.3592425642978478,45.058828830718994,32.29
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,inst/inst2020,true,716104.3033731219,716104.3033731215,625172.1963223855,792797.655082793,0.44448642955433987,7.488751893925538e-5,2.4639309269492635,32.34886693954468,26.44
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,inst/inst2020,true,816036.9657800647,816036.9657800903,666329.5503507059,1.0314743156140167e6,0.7079330034893512,9.788191090168593e-5,16.188145363959116,28.55705952644348,22.13
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,inst/inst2020,true,833470.2065204617,833470.2065204515,660009.4843728212,1.0221161724114139e6,1.0638195694953299,4.0009748313638007e-5,14.647428779415996,20.874951362609863,17.04
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,inst/inst2020,true,1.5305149158898795e6,1.5305149158898864e6,1.4631692671151226e6,1.5966683330889535e6,0.9139678227442518,0.00039016813414381084,10.056188501587744,153.28165483474731,136.54
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,inst/inst2020,true,1.5396403209419015e6,1.5396403209418969e6,1.4387804635722074e6,1.6711400192718324e6,0.8124959670016504,2.550328012175076e-5,4.097567243189159,166.4564290046692,147.22
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,inst/inst2020,true,1.3827485808970074e6,1.3827485808969853e6,1.2783604457420912e6,1.5077700826294343e6,0.4703194710794478,1.1712557070768425e-5,2.328504623155984,187.11493182182312,168.68
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,inst/inst2020,true,1.5007945797194412e6,1.5007945797194315e6,1.2936819369842198e6,1.6358199158999377e6,1.0510795755347653,0.00021216637654204279,7.721384842872545,140.31665015220642,122.71
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,inst/inst2020,true,681814.9017807088,681814.9017807124,613594.7136638367,727607.8366856056,0.33740398341038863,5.172644737483914e-5,1.482245861775844,20.194079160690308,16.04
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,inst/inst2020,true,681549.0843116904,681549.0843117187,607959.1319858974,759458.0140408673,0.5126184974131649,3.900052995879867e-6,2.2244280891090518,24.241621017456055,19.47
