Method,PctInstances,GapPctVsOpt
Exact optimal,90.0,0.0
Exact optimal,91.25,0.0
Exact optimal,92.5,0.0
Exact optimal,93.75,0.0
Exact optimal,95.0,0.0
Exact optimal,96.25,0.0
Exact optimal,97.5,0.0
Exact optimal,98.75,0.0
Exact optimal,100.0,0.0
Restricted-exact,1.25,0.0
Restricted-exact,2.5,1.7763568394002505e-13
Restricted-exact,3.75,0.14306007316189362
Restricted-exact,5.0,0.17710966804060924
Restricted-exact,6.25,0.17980367518060092
Restricted-exact,7.5,0.18039304673447276
Restricted-exact,8.75,0.18412546661297213
Restricted-exact,10.0,0.1989103586690799
Restricted-exact,11.25,0.19954628039975386
Restricted-exact,12.5,0.20951129901729537
Restricted-exact,13.750000000000002,0.22360176763356332
Restricted-exact,15.0,0.22590487342688537
Restricted-exact,16.25,0.22921022549049486
Restricted-exact,17.5,0.2294219287352739
Restricted-exact,18.75,0.23120971105647925
Restricted-exact,20.0,0.23695012518709646
Restricted-exact,21.25,0.24502095050948913
Restricted-exact,22.5,0.24582253084299843
Restricted-exact,23.75,0.24617870753114168
Restricted-exact,25.0,0.24724741559918328
Restricted-exact,26.25,0.2542108049737868
Restricted-exact,27.500000000000004,0.25499357495182284
Restricted-exact,28.749999999999996,0.25831483105656083
Restricted-exact,30.0,0.280979422167249
Restricted-exact,31.25,0.2820531893645617
Restricted-exact,32.5,0.2905940525486761
Restricted-exact,33.75,0.3010072178201595
Restricted-exact,35.0,0.3099910956013474
Restricted-exact,36.25,0.31453564829448943
Restricted-exact,37.5,0.31717281386360874
Restricted-exact,38.75,0.3197135008941032
Restricted-exact,40.0,0.32073398521650365
Restricted-exact,41.25,0.3232969760587512
Restricted-exact,42.5,0.32376438243806316
Restricted-exact,43.75,0.32715843016681845
Restricted-exact,45.0,0.32880096534384506
Restricted-exact,46.25,0.33142147567581937
Restricted-exact,47.5,0.3437981674401458
Restricted-exact,48.75,0.3524962362575046
Restricted-exact,50.0,0.3734614552846294
Restricted-exact,51.24999999999999,0.3880804156939366
Restricted-exact,52.5,0.39638819422860294
Restricted-exact,53.75,0.40282263140751784
Restricted-exact,55.00000000000001,0.4177646755924025
Restricted-exact,56.25,0.43640687414963075
Restricted-exact,57.49999999999999,0.43775040314040226
Restricted-exact,58.75,0.4540007029287141
Restricted-exact,60.0,0.45703444153191164
Restricted-exact,61.25000000000001,0.49152035979904696
Restricted-exact,62.5,0.4956916172093706
Restricted-exact,63.74999999999999,0.5181230053972197
Restricted-exact,65.0,0.5250021583948827
Restricted-exact,66.25,0.5377452254668791
Restricted-exact,67.5,0.5396286571025088
Restricted-exact,68.75,0.5402458067606863
Restricted-exact,70.0,0.5550648613056985
Restricted-exact,71.25,0.5769683002684323
Restricted-exact,72.5,0.5907799433003902
Restricted-exact,73.75,0.5929123146250603
Restricted-exact,75.0,0.5954507178557611
Restricted-exact,76.25,0.5995534009755277
Restricted-exact,77.5,0.6235173845698272
Restricted-exact,78.75,0.641883774805363
Restricted-exact,80.0,0.652122430549662
Restricted-exact,81.25,0.6525370267650432
Restricted-exact,82.5,0.6863509001626245
Restricted-exact,83.75,0.6944296976643338
Restricted-exact,85.0,0.6959498700004119
Restricted-exact,86.25,0.7325479870527118
Restricted-exact,87.5,0.7335473447461549
Restricted-exact,88.75,0.734069922166225
Restricted-exact,90.0,0.7476732636749084
Restricted-exact,91.25,0.7573461384991154
Restricted-exact,92.5,0.7694448116147612
Restricted-exact,93.75,0.7719958111275904
Restricted-exact,95.0,0.8255799834840705
Restricted-exact,96.25,0.8768334764218677
Restricted-exact,97.5,0.9010163450635433
Restricted-exact,98.75,1.29557077898117
Restricted-exact,100.0,1.3052299658578237
Decomposed,1.25,0.24860182968229338
Decomposed,2.5,0.5148075637122496
Decomposed,3.75,0.7123867148108198
Decomposed,5.0,0.78589618655176
Decomposed,6.25,1.0396212490093815
Decomposed,7.5,1.0447224278413714
Decomposed,8.75,1.050173938444754
Decomposed,10.0,1.0869131153268263
Decomposed,11.25,1.09492246332481
Decomposed,12.5,1.1360298824923731
Decomposed,13.750000000000002,1.1514435299652126
Decomposed,15.0,1.17447030612583
Decomposed,16.25,1.2457422427716747
Decomposed,17.5,1.2524488354030083
Decomposed,18.75,1.3026562376923012
Decomposed,20.0,1.3222452113421435
Decomposed,21.25,1.343671853376871
Decomposed,22.5,1.508261093732477
Decomposed,23.75,1.5832759689755393
Decomposed,25.0,1.624297688917542
Decomposed,26.25,1.6470676594520617
Decomposed,27.500000000000004,1.7776442678116178
Decomposed,28.749999999999996,1.8254121138562729
Decomposed,30.0,1.8368532525237846
Decomposed,31.25,1.8764482815376793
Decomposed,32.5,1.903411670464794
Decomposed,33.75,1.9040456243858417
Decomposed,35.0,1.9274247698988445
Decomposed,36.25,1.962963179827515
Decomposed,37.5,2.0506596522287923
Decomposed,38.75,2.1318614351709675
Decomposed,40.0,2.313801016184547
Decomposed,41.25,2.3374222883015605
Decomposed,42.5,2.356457267451173
Decomposed,43.75,2.366107725363209
Decomposed,45.0,2.3696632691537767
Decomposed,46.25,2.4356803405370053
Decomposed,47.5,2.4629941952404755
Decomposed,48.75,2.4755555177059296
Decomposed,50.0,2.518450375829584
Decomposed,51.24999999999999,2.663475223319489
Decomposed,52.5,2.69457307115899
Decomposed,53.75,2.8530606890780907
Decomposed,55.00000000000001,2.9621756362752993
Decomposed,56.25,3.0511961392041265
Decomposed,57.49999999999999,3.1583991979950765
Decomposed,58.75,3.1746550018132647
Decomposed,60.0,3.227612000085167
Decomposed,61.25000000000001,3.253486462573907
Decomposed,62.5,3.2893031483011814
Decomposed,63.74999999999999,3.315156479743342
Decomposed,65.0,3.315446746787254
Decomposed,66.25,3.5066604304085702
Decomposed,67.5,3.545209192642207
Decomposed,68.75,3.6624102053800733
Decomposed,70.0,3.673530293141636
Decomposed,71.25,3.8967749974638366
Decomposed,72.5,3.9778580726871793
Decomposed,73.75,4.086918734499534
Decomposed,75.0,4.147758690382974
Decomposed,76.25,4.348224043184423
Decomposed,77.5,4.396115792058075
Decomposed,78.75,4.409513912091212
Decomposed,80.0,4.574121691985833
Decomposed,81.25,4.831119622268276
Decomposed,82.5,4.85469922020676
Decomposed,83.75,5.164926461249575
Decomposed,85.0,5.357761453182763
Decomposed,86.25,5.55807716192902
Decomposed,87.5,5.684443149322993
Decomposed,88.75,5.690548457425604
Decomposed,90.0,5.860549605406895
Decomposed,91.25,6.006756411228298
Decomposed,92.5,6.072263253533583
Decomposed,93.75,6.440044775468712
Decomposed,95.0,6.643292298904857
Decomposed,96.25,6.883602746316142
Decomposed,97.5,6.998132861693285
Decomposed,98.75,7.292775901241355
Decomposed,100.0,9.753416406580184
