InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,ExpectedDemand,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,AllGridExpectedCost,Savings,RunTimeSec,ModelSolveTimeSec
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,806.6169040789359,151.05180800758183,17.18899246444815,296.97256155221805,124167.55367608691,93172.29330735432,150118.98725091806,13.91862096998109,0.017407994716601462,174.00897400116435,154751.97727509507,30584.42359900815,8.950366973876953,3.66
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,799.1393824846534,150.051808007581,39.67221093698237,279.4322513155664,133515.23290931367,108812.61999142286,159900.44382022467,20.773032588417333,0.0004933286166845935,268.0611933234786,147774.16754175536,14258.934632441698,8.950366973876953,3.66
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,802.797304160767,151.0518080075821,83.10630220566557,263.54027201937316,131690.0692265714,126819.83387388037,139152.07598867593,1.2937767653056054,0.011408527722479245,18.004186288141312,152615.23615499967,20925.166928428283,8.950366973876953,3.66
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,789.6956141868382,151.05180800758032,0.0,315.7029884647785,121282.10420772359,89883.56413922274,159231.34071876298,31.61940254947092,0.0024393001350956206,295.928374094493,151467.36040143462,30185.25619371103,8.950366973876953,3.66
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,847.1768354882819,260.74505883402173,19.536455373640912,601.3034354316542,145588.91882564215,132977.5677386775,161936.60686556058,4.487794286505389,0.0022578476623473257,319.48439974049245,162393.41005967386,16804.49123403171,10.398487091064453,4.9
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,848.4750227705518,259.74505883402276,49.11148272755712,550.8989037348948,108223.42093979119,76525.4317578145,143387.3906613249,35.07429898065383,0.002520823846636673,349.97995556791614,164279.4192134081,56055.99827361692,10.398487091064453,4.9
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,823.1735827813537,258.7450588340207,74.13500293634573,680.5487004774053,139278.57479961606,119956.57643835398,150048.5449017255,16.62600159803968,0.008660185340314106,272.0486311739925,157494.0507219978,18215.47592238174,10.398487091064453,4.9
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,832.0742873420818,259.7450588340226,43.43195050577438,740.0524370368712,142298.12945880814,128436.41009406983,151417.55117573563,14.298549366372242,0.0015994408615635052,392.2820190773178,159140.33239915053,16842.202940342395,10.398487091064453,4.9
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,851.3576360148794,259.74505883402253,1.1936189578653436,585.7847352961815,106763.74819162666,70469.37898293995,157600.2189688698,13.286849003202883,0.020380042553182896,314.4542111529702,164785.25691058836,58021.508718961704,10.398487091064453,4.9
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,800.5376405070961,440.33098920850415,24.0,1153.2548292475806,140125.65923167698,106084.82370637602,166698.7035472987,8.680831404533542,0.0027484516401704937,548.5856444376946,156511.67837783022,16386.019146153238,12.00407099723816,6.83
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,801.3497488923432,439.1087669862815,4.0,1287.36831138895,139521.76222164306,103542.14952316924,167580.84612475417,3.2956327679528084,0.002071052818274066,87.80978231429232,156694.90843698054,17173.146215337474,12.00407099723816,6.83
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,829.176761534438,438.9976558751664,130.3551985095935,904.7924004256465,121637.37616918284,112827.25457270895,127106.67738282794,0.8380680765203555,0.00786074018399977,4.623790325709855,163800.15330633285,42162.77713715001,12.00407099723816,6.83
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,800.457077180675,439.10876698628704,0.0,1040.6276428063247,139152.33274859257,103546.38987662985,167941.34777449068,1.5945238811318747,0.0013171214714927204,33.27737437048538,156536.27382869428,17383.941080101707,12.00407099723816,6.83
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,1804.6077670236439,439.1087669862761,144.7566701706173,750.6995227099301,250262.1548048132,154217.1105538267,375539.9334051339,66.78011923406432,0.005129863688675999,593.8288740624758,347379.8002651041,97117.64546029089,12.00407099723816,6.83
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,817.643581746591,365.2875971263316,36.05583591494393,874.4658157743182,126031.51979033048,103685.16759276322,160064.86304384636,6.304684296979913,0.0,350.46941102006235,159460.90255062492,33429.38276029444,11.080780029296875,5.41
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,912.430814202035,364.03759712633394,94.72053037272306,547.128705140261,98240.65716443241,51331.60618855679,141202.20811050292,45.26213561832951,0.002099560826875486,547.128705140261,175268.55596950956,77027.89880507714,11.080780029296875,5.41
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,908.1561883191285,364.03759712633047,156.20282724689156,709.1531325626052,97182.39977272123,57397.2775589067,137073.3946683348,43.525846870735826,0.0022794719096409645,681.8782546713467,174486.26948642876,77303.86971370754,11.080780029296875,5.41
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,799.2151545542979,364.0375971263335,11.416924013935272,787.5356955900129,138177.46983462072,128141.20785553717,157099.15180773262,59.77489895856447,0.0017074939116519055,639.5373222346692,151584.09834820774,13406.628513587028,11.080780029296875,5.41
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,794.5250997147631,364.0375971263336,53.12750710394313,810.0490837568218,134101.32185860194,124311.77012578913,143548.0377505861,10.226042213728261,0.00926849973871443,432.7027908778744,150901.28433218924,16799.962473587308,11.080780029296875,5.41
6,Drahi_6.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,1404.4396334729913,316.3055897273302,56.899303330934984,832.6846748909578,195138.81034870868,112057.45111515952,292136.91447379085,6.0068201238484455,0.00212777868409187,337.3633063484005,264200.89848407835,69062.08813536968,7.735688924789429,3.17
6,Drahi_6.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,799.4752414160791,315.30558972733945,0.0,976.312120195947,138130.093571708,99708.72629135812,164264.26983440632,17.43404778928646,0.009186139759211398,416.898857676411,152390.87084024862,14260.777268540609,7.735688924789429,3.17
6,Drahi_6.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,785.7092722330887,315.3055897273383,53.75876269133845,762.9210413962045,133445.8718128879,122993.44777289251,142674.38605929932,14.621278694016786,0.0005057699760029341,294.0951712680317,151536.1613499517,18090.2895370638,7.735688924789429,3.17
6,Drahi_6.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,797.305723198237,314.30558972733894,0.0,1018.7200417580493,137803.79503466346,101707.0237501264,164260.25466438988,8.072301770952135,0.0,329.63239856243206,151979.94085035846,14176.145815694996,7.735688924789429,3.17
6,Drahi_6.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,802.6602733995622,315.30558972733616,0.0,1247.7935301208051,140029.77733769277,99077.49984405744,170275.3821791533,44.36002577192754,0.005370248140023935,1247.7935301208051,152969.28633863415,12939.509000941383,7.735688924789429,3.17
7,Drahi_7.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,1116.560595820736,383.5689528393221,95.25949265278382,667.3156012637666,140497.97600295325,107859.08721646664,168204.986300028,9.906979332854407,0.004060868318740528,543.6140623087861,217378.26544034196,76880.28943738871,8.099361181259155,3.74
7,Drahi_7.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,1117.8543859987733,382.5689528393242,87.42985643936566,666.3314295669808,137453.149999359,110460.60454055782,166059.3303920073,68.7361901338361,0.004308544205105183,601.936203569846,217601.54710749054,80148.39710813152,8.099361181259155,3.74
7,Drahi_7.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,1106.4332757152972,381.56895283932414,115.10118218445743,574.5018028599271,139600.65242568406,130292.5261950949,148495.08138379204,35.45492113920722,0.001796808192402818,475.12311664897055,211783.8804210248,72183.22799534074,8.099361181259155,3.74
7,Drahi_7.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,1129.6949530811999,382.56895283932266,107.31901240441627,565.7781501781478,145431.40332955465,131185.53764808163,157007.09420180263,28.101814208602363,0.0019096126815795558,469.43951108795335,216095.02544461653,70663.62211506188,8.099361181259155,3.74
7,Drahi_7.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,1109.610581121194,382.5689528393209,102.82402925459594,653.5760102874442,138870.3827138645,119978.2858712344,151724.92113817838,37.0671513229771,0.05886296496508139,505.081767827081,213010.7058577351,74140.3231438706,8.099361181259155,3.74
8,Drahi_8.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,800.9188059004571,355.2976207305394,3.9999999999999982,1163.2551776036144,139065.3826969439,92637.27100652493,172485.80954722926,6.940083937328602,0.0008336287011218444,668.0419990096808,157095.22234629284,18029.839649348927,7.271687984466553,2.87
8,Drahi_8.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,803.0057803238868,354.0753985083157,8.0,882.5600873684282,134852.4490431492,100473.52195781063,163577.00172018333,25.658431386797027,0.0002879426246432388,548.0544090238745,157565.08986344677,22712.640820297587,7.271687984466553,2.87
8,Drahi_8.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,1515.6184079064108,354.0753985083158,73.45410733514683,653.9844085615102,211443.09397199308,128498.82221767242,399631.87142115517,26.079187554718086,0.0011652178753492428,307.07303611619614,290428.5342354297,78985.44026343664,7.271687984466553,2.87
8,Drahi_8.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,793.840291571161,353.96428739720534,63.29049984112148,740.1205083151965,134463.8357449663,127406.63780720164,143710.903498575,26.250066866565696,0.010062181433631781,441.2715153484645,152788.82395761253,18324.988212646247,7.271687984466553,2.87
8,Drahi_8.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,770.6470294746638,354.0753985083167,29.287617578046945,1348.335082689832,134202.73128890432,124708.68016912988,145420.62085627188,31.509171219581685,0.041335162900853574,720.0061390713558,147323.57839292032,13120.847104015993,7.271687984466553,2.87
9,Drahi_9.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,828.4683935506818,296.2072653059405,0.0,531.4176610995272,94506.93675721262,49178.38524658451,147367.55489267217,5.701893655242175,0.009077899036138704,530.2027816619217,152018.01183166273,57511.07507445011,8.18857192993164,4.48
9,Drahi_9.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,822.0955275196831,295.20726530594163,0.0,577.9599944507665,92656.80143095327,46829.59571595898,139363.27571465797,53.11274836790477,0.0,539.3982771211408,150954.41513878285,58297.61370782957,8.18857192993164,4.48
9,Drahi_9.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,820.9555295344218,295.2072653059391,49.20917769437912,618.7019710941149,147445.6466038738,117631.56466792285,171391.37807566058,35.0682871053728,0.0030335338142306986,467.32457409599766,164016.20674612813,16570.56014225431,8.18857192993164,4.48
9,Drahi_9.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,825.0848803623068,294.20726530594374,0.0,605.0419808217044,93371.26088882127,38562.5638891173,151346.47156213946,28.170727617408374,0.0,338.37978548490236,151270.7604794025,57899.499590581225,8.18857192993164,4.48
9,Drahi_9.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,820.6668216158171,295.20726530594027,15.23232145549691,859.9845102471328,142689.0031665156,113108.60903588848,169247.94243774816,39.90130461021551,0.004151982850653126,452.91484073894094,163930.55365721943,21241.550490703812,8.18857192993164,4.48
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,797.9062488716492,82.70057454227978,0.0,326.32162259048704,133573.5871546398,82952.77393987136,154180.72107713862,27.329818059060212,0.0,230.7743415237696,149547.05563651302,15973.46848187322,10.870798110961914,5.68
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,796.9587855154358,80.70057454228008,0.0,415.2842239275238,132641.9057644741,75642.76651228736,160448.1844815582,10.80436781393505,0.0,308.280372702981,149146.31682009596,16504.411055621866,10.870798110961914,5.68
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,799.7241225553128,81.7005745422796,0.0,283.008563110354,153556.0118818983,116359.94639484778,182260.27415418465,15.959531173278108,0.0,192.75947074547932,159332.83420911676,5776.822327218455,10.870798110961914,5.68
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,805.8147300933349,81.70057454227972,0.0,396.3350160314793,134263.02933991206,78502.31942572133,159813.41120850106,13.31393141416052,0.0,216.948860808556,150749.91328000222,16486.883940090163,10.870798110961914,5.68
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,802.491331014526,81.7005745422794,0.0,393.4524362977966,152024.92818072368,116243.92870662405,171812.23891508824,9.122124029230912,0.0,296.6656617966119,159865.25963262364,7840.331451899954,10.870798110961914,5.68
10,Drahi_10.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,799.3443936435996,175.2176241261026,0.0,862.7243596383905,148398.8933777575,125250.09186871455,155937.55338935388,31.878574009565316,0.0,556.0179031601529,154407.7573831847,6008.8640054272255,9.547376871109009,4.73
10,Drahi_10.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,1041.789481031567,173.9676241261037,0.0,517.0725746181325,165871.39085192044,112071.36573492331,359877.77286940475,41.46789767743442,0.0,517.0725746181325,205555.98745203676,39684.59660011632,9.547376871109009,4.73
10,Drahi_10.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,795.0023189708567,173.96762412610425,0.0,976.4340566995351,146277.66797751354,125421.58208800093,164484.76892946093,11.635116751069647,0.0,206.8814401406931,153635.10733286213,7357.439355348586,9.547376871109009,4.73
10,Drahi_10.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,819.8412836034111,173.96762412610397,0.0,761.2360067231432,135797.9448239188,96836.9709003704,174367.6255409422,8.864026585561094,0.0,358.64629839559586,159210.50452815427,23412.559704235464,9.547376871109009,4.73
10,Drahi_10.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,831.3420838542855,173.96762412610425,0.0,728.4799128109477,150547.37266791493,129071.50313975263,159224.49259250952,3.6988975459995075,0.0,170.3444411054717,160349.2704647725,9801.897796857578,9.547376871109009,4.73
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,781.6954425492621,175.64922777429615,4.404395839984241,398.72246143206894,123148.703415932,106391.98735521754,150777.4948743753,71.16413385560992,0.0011164689616684936,398.72246143206894,153906.6751408968,30757.97172496481,17.96536898612976,8.32
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,805.7991533043806,174.4270055520728,0.0,404.11338706911073,120109.85810572565,70772.2550781126,158497.18542030724,24.965696825758783,0.004354138938639543,369.7637644230416,158328.8065217849,38218.94841605924,17.96536898612976,8.32
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,810.2345427114205,174.4270055520704,0.0,494.53049903003955,121790.22937810353,61159.52675520007,168231.3758394302,7.500434550648631,0.0,480.2076556955809,159357.7276710929,37567.498292989374,17.96536898612976,8.32
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,801.8017952411477,174.42700555207492,4.0,703.6665317828517,143415.8922271685,96265.31931539968,167549.03994614264,1.3170221450697273,0.00016493739412360087,27.29564084343322,152868.84423925096,9452.952012082475,17.96536898612976,8.32
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,798.5608778625527,174.3158944409605,0.0,673.3244944556304,145508.1651604618,108960.73374524819,166034.5244253833,2.1913609210380147,0.0011394656663885048,82.69641660564237,152286.93272255076,6778.767562088964,17.96536898612976,8.32
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,795.4248621600563,333.9780003982781,43.62028854744013,1068.394739025645,128206.77435706867,103159.65009770564,147902.59595135195,25.32265978350855,0.004104446425208417,710.6947218543982,152329.07253723594,24122.298180167272,15.958958148956299,7.56
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,927.424193397491,332.9780003982782,0.0,934.4851306737843,105534.71177192517,70522.55085911791,149834.20225077492,26.527137829300177,0.0,341.73855611785865,175864.26284201708,70329.55107009191,15.958958148956299,7.56
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,833.5758195495675,331.9780003982773,4.0,1150.2948461813226,123558.56096487535,87680.51399749937,160411.4829855342,30.784566725738877,0.007357482715397391,612.2761994732525,157361.50591754884,33802.9449526735,15.958958148956299,7.56
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,931.7154448296936,332.9780003982775,0.0,906.9232778007142,106456.37184133075,72321.78652012793,156026.87992530092,25.813103918344954,0.0,346.1784076678651,176795.3507216082,70338.97888027746,15.958958148956299,7.56
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,812.7640534183738,332.9780003982786,110.40676933220156,707.0004280858977,124529.10737862063,120193.15356795683,129902.96964698374,44.136989700085586,0.003754877635989748,435.8740244923412,155389.09426784466,30859.986889224034,15.958958148956299,7.56
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,836.6777584576255,527.7561586190574,41.201884417092714,2506.6900898389117,129064.73261701685,100146.81782740258,154258.70071591472,0.49546657758370793,0.00012741128979452463,5.053330245979602,165157.89268815302,36093.16007113617,9.471634864807129,3.92
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,1022.0675560913543,527.7561586190543,0.0,1254.2603746689795,88542.3811775376,36198.659041526305,160932.45637792815,27.497799837362667,0.0,492.1483640650792,193256.06649312942,104713.68531559182,9.471634864807129,3.92
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,1041.4789661487564,528.381158619053,0.0,1300.7675390504894,89490.6796275744,35986.889282090015,154716.25068011897,10.43636643282355,0.0,368.6794673901291,197195.4167438489,107704.73711627451,9.471634864807129,3.92
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,899.2503121991535,527.7561586190553,64.97496324303873,1398.2684005814301,132966.8814165409,106916.93210243229,160306.1039288022,2.3694934737608024,0.001062524018354399,67.30492584356305,177399.8683812149,44432.986964674,9.471634864807129,3.92
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,1031.307124558689,528.3811586190557,0.0,1222.27826243047,89848.4036862614,37597.44550284016,156934.5913945277,14.986118797624,0.0,268.49821573937203,195424.74535095372,105576.34166469231,9.471634864807129,3.92
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,808.7762680282625,469.0784756997534,0.0,2081.7568816943285,137576.2813530719,87279.15454389747,173169.3995839198,51.963112728005,0.011134597437258349,593.2095227093671,163782.79906973,26206.517716658098,8.458822011947632,4.25
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,1185.4669431817754,469.0784756997547,75.73303558597304,1078.8839919351913,131722.85835122078,59583.2185185094,294893.4573511767,62.59842105244938,0.008868447248529886,554.2526488261095,229757.1289328389,98034.27058161813,8.458822011947632,4.25
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,1198.1755231842517,467.578475699757,0.0,1058.9441588093123,133927.84615847917,73470.87979554391,273314.6140338498,72.57122212501955,0.0,741.9445125218076,232282.86020185356,98355.0140433744,8.458822011947632,4.25
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,836.3455803063922,468.57847569975587,150.20116118784816,1057.5810768322083,110775.21966393592,99337.74346800892,120892.77813581923,21.933901318515247,0.000810824401607535,844.729739877918,157924.03570625203,47148.81604231612,8.458822011947632,4.25
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,807.7003940027446,468.57847569975667,0.0,1759.6800121420713,136039.54772521506,86959.92431024014,172013.32828998033,11.001685885843072,0.0016793023559018973,301.1072041969308,163630.13660562405,27590.588880408992,8.458822011947632,4.25
6,Drahi_6.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,816.1620250274202,527.9083084374661,0.0,1947.1534809363238,128079.9125160781,105679.76977623178,142930.19656110657,29.67545291664079,0.0,1029.5349497773855,149631.89307717612,21551.980561098026,7.009807109832764,2.88
6,Drahi_6.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,1069.6537547352161,526.9083084374668,0.0,1462.3476795401018,94817.18473343019,53484.94410915664,154747.68572410964,64.59554290865933,0.008934524361351384,881.0330722710985,203874.28092785092,109057.09619442074,7.009807109832764,2.88
6,Drahi_6.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,1089.179670402523,526.9083084374646,0.0,1524.6476965555064,97210.0990866129,51094.072732435015,159116.63486750794,42.416868855090655,0.0,474.26886056006697,207544.211226777,110334.1121401641,7.009807109832764,2.88
