InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,ExpectedDemand,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,AllGridExpectedCost,Savings,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,788.8345111233509,205.7562658561502,0.0,428.4536005995112,105627.85082263805,65873.15996618239,148478.8678466537,5.048425638413135,0.00503788152790012,284.4523936534676,145619.6472176119,39991.79639497385,34.29831600189209,6.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,788.793279943035,204.75626585614938,39.097872892928095,422.825291055793,105063.53191321756,69832.75080569346,134229.4970848365,30.459718161173505,0.0016415382997382571,339.15289391850956,145797.75838702117,40734.2264738036,34.29831600189209,6.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,800.9499656240185,204.7562658561513,17.806440621705043,393.7579352077536,137199.89499605395,109926.74065017217,160727.3785354375,15.762965700996265,0.0024133597329327266,172.99349825672374,155868.79706639552,18668.902070341574,34.29831600189209,6.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,863.4824749667533,203.75626585615163,91.28200522177715,399.72962076737724,145042.0438052989,125674.62892476251,154983.39078268025,24.942544867288046,0.0047150719968099795,301.67557587818305,171339.0739366987,26297.030131399806,34.29831600189209,6.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,796.5850909017206,204.7562658561515,0.0,481.8740730599781,106312.34507989328,49426.492034654424,142544.89984064762,62.36289573534693,0.0,416.5040176225139,147141.52471425824,40829.17963436496,34.29831600189209,6.18
10,Drahi_10.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,820.6725525569384,261.3689519177225,99.91175685886994,416.43567771003103,106672.13945650226,79231.58358026185,148011.0733965771,5.051824243154297,4.624522883116292e-5,302.6219689644005,164868.9220390738,58196.78258257154,5.5495970249176025,2.58
10,Drahi_10.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,2,inst/inst2020,true,823.5005094874258,260.1189519177239,76.6780422442921,533.32678688078,141557.52426855988,128282.78757204226,151866.75623477393,47.39192779473838,0.010205739910092118,374.77724746282263,164313.12008346897,22755.595814909087,5.5495970249176025,2.58
10,Drahi_10.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,3,inst/inst2020,true,811.9004667909124,260.1189519177217,122.62099809734816,430.07863682152015,104318.81448847066,67329.6435817519,136860.571817779,19.801554910270465,0.010453803074195786,310.66224335727895,163040.48698874502,58721.67250027436,5.5495970249176025,2.58
10,Drahi_10.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,4,inst/inst2020,true,837.495987166807,260.11895191772123,88.03919825520708,518.8695645743026,145268.3518124632,141304.75802830828,148102.70671063522,29.646418947169373,0.0005062331684962232,447.85345756895316,166845.84800734275,21577.496194879554,5.5495970249176025,2.58
10,Drahi_10.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,5,inst/inst2020,true,823.4836522815693,260.11895191772294,91.64933343124908,518.3929264738708,108149.72178113728,51098.91210563587,145087.27194412355,23.473661139577548,0.0005758839741534362,313.7077521635442,165435.9698736344,57286.24809249712,5.5495970249176025,2.58
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,1,inst/inst2020,true,796.4803143918272,152.05180800758154,17.582529368387014,313.10452571228245,121080.07952946903,85994.77017772409,145925.11081771195,3.5529766560885276,0.004185539768455899,182.5198099302687,152818.78792593002,31738.708396460992,8.950366973876953,3.66
