Method,PctInstances,GapPctVsOpt
Exact optimal,2.4390243902439024,0.0
Exact optimal,4.878048780487805,0.0
Exact optimal,7.317073170731707,0.0
Exact optimal,9.75609756097561,0.0
Exact optimal,12.195121951219512,0.0
Exact optimal,14.634146341463413,0.0
Exact optimal,17.073170731707318,0.0
Exact optimal,19.51219512195122,0.0
Exact optimal,21.951219512195124,0.0
Exact optimal,24.390243902439025,0.0
Exact optimal,26.82926829268293,0.0
Exact optimal,29.268292682926827,0.0
Exact optimal,31.70731707317073,0.0
Exact optimal,34.146341463414636,0.0
Exact optimal,36.58536585365854,0.0
Exact optimal,39.02439024390244,0.0
Exact optimal,41.46341463414634,0.0
Exact optimal,43.90243902439025,0.0
Exact optimal,46.34146341463415,0.0
Exact optimal,48.78048780487805,0.0
Exact optimal,51.21951219512195,0.0
Exact optimal,53.65853658536586,0.0
Exact optimal,56.09756097560976,0.0
Exact optimal,58.536585365853654,0.0
Exact optimal,60.97560975609756,0.0
Exact optimal,63.41463414634146,0.0
Exact optimal,65.85365853658537,0.0
Exact optimal,68.29268292682927,0.0
Exact optimal,70.73170731707317,0.0
Exact optimal,73.17073170731707,0.0
Exact optimal,75.60975609756098,0.0
Exact optimal,78.04878048780488,0.0
Exact optimal,80.48780487804879,0.0
Exact optimal,82.92682926829268,0.0
Exact optimal,85.36585365853658,0.0
Exact optimal,87.8048780487805,0.0
Exact optimal,90.2439024390244,0.0
Exact optimal,92.6829268292683,0.0
Exact optimal,95.1219512195122,0.0
Exact optimal,97.5609756097561,0.0
Exact optimal,100.0,0.0
Restricted-exact,2.4390243902439024,2.6645352591003757e-13
Restricted-exact,4.878048780487805,0.17520668597961198
Restricted-exact,7.317073170731707,0.3338634241946137
Restricted-exact,9.75609756097561,0.5052888663722888
Restricted-exact,12.195121951219512,0.5955302134176055
Restricted-exact,14.634146341463413,0.6367822510769727
Restricted-exact,17.073170731707318,0.6500498584595338
Restricted-exact,19.51219512195122,0.6598383013400433
Restricted-exact,21.951219512195124,0.6612425756907792
Restricted-exact,24.390243902439025,0.6792399030169483
Restricted-exact,26.82926829268293,0.6839076463788452
Restricted-exact,29.268292682926827,0.7474409171810192
Restricted-exact,31.70731707317073,0.751299975579256
Restricted-exact,34.146341463414636,0.7521984969242945
Restricted-exact,36.58536585365854,0.7975683441834747
Restricted-exact,39.02439024390244,0.8460024920496467
Restricted-exact,41.46341463414634,0.8878917931940178
Restricted-exact,43.90243902439025,0.9163195008093705
Restricted-exact,46.34146341463415,1.0034850383259686
Restricted-exact,48.78048780487805,1.0209420279593484
Restricted-exact,51.21951219512195,1.0534649902908644
Restricted-exact,53.65853658536586,1.0636418086468868
Restricted-exact,56.09756097560976,1.075056217151582
Restricted-exact,58.536585365853654,1.0829402252745757
Restricted-exact,60.97560975609756,1.0871031286977972
Restricted-exact,63.41463414634146,1.095968384302326
Restricted-exact,65.85365853658537,1.1011030198792904
Restricted-exact,68.29268292682927,1.1238297991161161
Restricted-exact,70.73170731707317,1.135377688039596
Restricted-exact,73.17073170731707,1.1617822723901883
Restricted-exact,75.60975609756098,1.3318926569984235
Restricted-exact,78.04878048780488,1.4394239438302092
Restricted-exact,80.48780487804879,1.5100450700579193
Restricted-exact,82.92682926829268,1.5292537668766037
Restricted-exact,85.36585365853658,1.553267598514263
Restricted-exact,87.8048780487805,1.6029456057535363
Restricted-exact,90.2439024390244,1.6419933616830473
Restricted-exact,92.6829268292683,1.8880573727782624
Restricted-exact,95.1219512195122,2.1583455414442287
Restricted-exact,97.5609756097561,2.895991490767802
Restricted-exact,100.0,3.5165339548313135
Decomposed,2.4390243902439024,-10.49065678497344
Decomposed,4.878048780487805,0.0006109689211886149
Decomposed,7.317073170731707,0.7024328364143129
Decomposed,9.75609756097561,0.924758780980639
Decomposed,12.195121951219512,1.3746808431037039
Decomposed,14.634146341463413,1.8148429289824408
Decomposed,17.073170731707318,2.0773617866585603
Decomposed,19.51219512195122,2.2753475117780253
Decomposed,21.951219512195124,2.5486537047782587
Decomposed,24.390243902439025,2.5887427571348987
Decomposed,26.82926829268293,2.615507467723255
Decomposed,29.268292682926827,2.6697366199330164
Decomposed,31.70731707317073,2.745735748976741
Decomposed,34.146341463414636,2.769804200392967
Decomposed,36.58536585365854,3.211217935433819
Decomposed,39.02439024390244,3.370692006422793
Decomposed,41.46341463414634,3.487773813685613
Decomposed,43.90243902439025,3.6710017599436595
Decomposed,46.34146341463415,3.8543294398179384
Decomposed,48.78048780487805,4.010080113386882
Decomposed,51.21951219512195,4.143919007332086
Decomposed,53.65853658536586,4.464792944954854
Decomposed,56.09756097560976,4.684436510979206
Decomposed,58.536585365853654,4.684970633316299
Decomposed,60.97560975609756,4.809180489459686
Decomposed,63.41463414634146,4.863628928742791
Decomposed,65.85365853658537,4.956998923197209
Decomposed,68.29268292682927,5.208469074838096
Decomposed,70.73170731707317,5.356707115612291
Decomposed,73.17073170731707,5.424865543740842
Decomposed,75.60975609756098,5.628664337851164
Decomposed,78.04878048780488,6.874446501291898
Decomposed,80.48780487804879,7.570518998456088
Decomposed,82.92682926829268,8.97397422542725
Decomposed,85.36585365853658,10.867467460140933
Decomposed,87.8048780487805,13.135862074852467
Decomposed,90.2439024390244,13.450652057075807
Decomposed,92.6829268292683,13.630667924126838
Decomposed,95.1219512195122,18.214268931150855
Decomposed,97.5609756097561,22.493713993319897
Decomposed,100.0,30.514209415558312
