InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,140.2772482950358,0.0,331.8027060100361,132768.22296604622,96888.12964947666,165674.99860313733,0.08033758063600961,0.00013300116199615856,0.31536119281413927,9.833197116851807,2.26
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,140.87554648726578,0.0,477.0385107765191,134214.75347343212,64075.77057871323,171961.43764910777,0.07687054547785258,0.00011943205200293271,0.37432049118811145,9.833197116851807,2.26
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,531.6518876780267,108.9552967091132,1058.3923927869232,130591.64849572226,106237.57329631525,154836.5052558859,0.05085137968659346,2.0626141263254693e-7,0.3061127367271095,9.833197116851807,2.26
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,4,inst/inst2020,true,123.90268494572581,88.24193877628562,182.63147919800807,131981.95994428225,124947.55986112478,138254.91884309988,0.0471991388114451,5.900300566679733e-5,0.21940997124834352,9.833197116851807,2.26
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,5,inst/inst2020,true,136.24300344906428,0.0,373.64182230001717,131233.7574382564,82087.76531619093,168375.8298022533,0.0856618987783962,0.0004824034228248477,0.2970769319490589,9.833197116851807,2.26
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,449.41471025502636,4.0,809.8882822113006,149155.45818851134,106111.74312417765,185352.9122493854,0.09765231193969848,8.576392968468315e-5,0.6365630870862075,8.813822984695435,4.04
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,439.9309252521991,4.0,954.8430794601255,149191.92027906753,103069.26666495258,192911.00880019096,0.09390447905513288,0.0002665653449640113,0.6924820608407617,8.813822984695435,4.04
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,102.51433097040531,0.0,770.2711813095293,134206.55012511596,41699.34020814917,170471.34198791484,0.12256935956442912,0.00695024896776312,0.618311940623869,8.813822984695435,4.04
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,4,inst/inst2020,true,97.3389118772113,0.0,791.8866782899732,139785.19496569093,27004.45305844392,174958.6455077385,0.114336541904601,2.8222146372476546e-5,0.7291000958400506,8.813822984695435,4.04
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,5,inst/inst2020,true,58.642750776349615,0.0,214.53347694477264,145173.32388464944,118448.76613779186,156414.9640047504,0.055878274456670075,2.7179391716654632e-5,0.29395646562791344,8.813822984695435,4.04
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,37.27012190930142,2.854262967543089,161.50862097068753,142348.01856606003,110997.96523388967,160176.8737895287,0.34085884981583003,0.00017778095723724893,0.9954981697761487,11.169779777526855,6.28
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,1147.8327842572498,2.8542629675430886,2715.9653383852524,217584.68594255197,6113.317451523543,1.622038391046072e8,0.6779544683228437,0.045109738948124596,4.149070834819871,11.169779777526855,6.28
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,71.11787380634013,2.854262967543089,502.49044226218285,142911.78598613417,106157.31145721997,162221.82830012956,0.3542343434574071,0.0006689210299779976,0.9954594366123408,11.169779777526855,6.28
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,4,inst/inst2020,true,83.99856840595714,2.854262967543089,489.8401847822566,141106.93896841625,99077.00265343893,163439.71815447128,0.33922579418652066,0.0003705318221726577,0.9955136928816506,11.169779777526855,6.28
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,5,inst/inst2020,true,74.70466232032658,2.854262967543089,390.18092557496675,140174.63616782872,96383.47865485835,160548.38597537152,0.324331207078704,0.00035028858953713746,0.9953658959117839,11.169779777526855,6.28
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,105.73772960987685,0.0,460.0737746330159,146276.9203049399,95630.77089697518,192104.8318871197,0.34363236357775223,0.0004457358392307843,1.1316297775847401,8.824464082717896,3.81
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,111.8873676267376,0.0,249.4815902580433,151468.43669590316,115087.19134565187,4.308042613044297e6,0.23486383927554083,0.0028622803646407677,0.8420757270652823,8.824464082717896,3.81
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,82.46545978585388,0.0,192.77628299541604,142971.78283000953,122947.57880472587,167150.33590594638,0.2810578860444611,0.0005888817911659057,0.993804510362071,8.824464082717896,3.81
