InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,660790.3423177323,660790.3423177386,510663.6895954317,750487.3026311344,0.06818410867805934,2.0626141263254693e-7,0.37432049118811145,9.833197116851807,2.26
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,717512.4474430386,717512.4474430373,441197.12640535255,822673.5306822499,0.09686819338410636,2.7179391716654632e-5,0.7291000958400506,8.813822984695435,4.04
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,784126.0656309704,784126.0656309908,528299.9376123055,1.6279993903394678e8,0.4073209325722611,0.00017778095723724893,4.149070834819871,11.169779777526855,6.28
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,796693.7073550116,796693.7073550033,479113.3371263354,1.374002823016798e8,0.35238559263617913,0.0001313206459429433,4.461928562309769,8.824464082717896,3.81
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,inst/inst2020,true,1.53176002217773e6,1.5317600221777332e6,1.4341807948724888e6,1.5862312498031685e6,0.03132844772273517,8.90756885171121e-6,0.3302029170364783,52.85602807998657,25.52
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,inst/inst2020,true,1.5400511580111906e6,1.5400511580111883e6,1.3427013002550201e6,1.674854518379667e6,0.04771621750955122,5.966923624489496e-6,0.3835808199622201,56.17477512359619,26.91
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,inst/inst2020,true,1.38095622308168e6,1.3809562230816595e6,1.0243544085595087e6,1.510479776471083e6,0.08459125930759152,1.3741883323863432e-5,0.5006655120294591,48.29671907424927,19.36
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,inst/inst2020,true,1.4993564051906588e6,1.4993564051906501e6,1.2207878351938394e6,1.6445817673667192e6,0.04635582992826726,1.3486886485358867e-5,0.31661695727957984,51.68352293968201,21.65
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,680274.0977445177,680274.0977445184,603253.0699218457,742829.484658182,0.050204785253082765,1.19457868322399e-5,0.37484838244229535,15.269129037857056,6.81
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,680689.3277238433,680689.3277238728,570742.4411411757,760639.3938944866,0.06096336463477587,2.395839595267482e-6,0.37126069784042715,17.14353919029236,8.83
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,771968.8696811441,771968.8696811487,560827.914645207,2.0184540148597278e7,0.12226687601092125,6.932777279251289e-6,4.158221872091528,12.071344137191772,3.45
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,inst/inst2020,true,648178.9535672051,648178.9535672065,401979.8410004891,754530.0958082792,0.1567038191712936,1.5859304786601392e-5,0.9292860369561444,13.611155033111572,4.78
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,inst/inst2020,true,1.4135381020847547e6,1.4135381020847561e6,1.3348861895883433e6,1.4578444760779333e6,0.046828713102185976,3.2501405624665555e-6,0.2556777315855428,44.71912384033203,14.91
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,inst/inst2020,true,1.4484057220590785e6,1.4484057220590818e6,1.316982218206965e6,1.583519345844279e6,0.039903627538516145,3.1436698370435703e-6,0.3385723986224237,52.70351314544678,22.92
