InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,613750.6620672508,613750.6620672497,492575.41227091535,718074.2531422733,0.253721298229984,8.472010970513667e-5,1.0,3.5584659576416016,0.62
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,647044.5606639977,647044.560663999,544228.0302559145,751662.6820958133,0.3029196043399665,1.4113431758124521e-5,1.6135151529745864,1.332988977432251,0.69
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,739447.6142053974,739447.6142053955,620695.93389635,925145.5019527888,0.6031709784401468,0.00018352147516209434,3.421068592045171,1.125119924545288,0.55
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,748124.6293486344,748124.6293486342,642628.2419964253,852173.9722973437,0.4901005770753667,0.00021206650450544568,3.180330453833877,1.1539030075073242,0.7
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.5076090816545251e6,1.5076090816545237e6,1.4423935070341206e6,1.5829969686650252e6,0.7431960241761352,8.105871438301579e-5,4.4505038891818,2.489732027053833,1.21
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.4715611101021944e6,1.4715611101021955e6,1.3545068350319308e6,1.6223350563438295e6,0.5468648408514237,0.00011378917613988952,2.7836015958468066,2.7289531230926514,1.59
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.2553558482318302e6,1.25535584823183e6,958915.3980994355,1.4892912350050514e6,0.46947057966861616,2.3036552572864982e-5,4.021827291202549,3.2553770542144775,2.23
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.4742382470427386e6,1.47423824704274e6,1.20795719720205e6,1.6324301766636418e6,0.8692019113580228,4.727222162849632e-5,6.616353820064716,4.093888998031616,2.39
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,658895.1062174941,658895.1062174932,591497.6719268721,720471.500400803,0.33467283986064983,4.713438159958829e-5,1.4191149842145032,1.6519169807434082,0.87
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,646292.7171079754,646292.7171079755,556615.6937578177,729243.713992003,0.37952064623346937,5.5079793320902005e-5,1.7014216846810084,1.520313024520874,0.93
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,750583.3690569145,750583.369056916,686073.9878609632,850133.0603344721,0.43881061382533326,0.00019181532929951544,2.9444970159574386,1.9567070007324219,1.19
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,594141.9905529846,594141.9905529842,507762.00507631944,745990.8735410391,0.3254315262481078,5.195968443654237e-5,1.5819792742358043,1.8261771202087402,1.08
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.369570057448662e6,1.3695700574486637e6,1.2861400374279153e6,1.4381209921680056e6,0.5497163852687277,0.00017721912997899146,2.361646556400529,3.2186689376831055,1.86
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.4180729733349145e6,1.418072973334913e6,1.2815079605241255e6,1.5818091163688086e6,0.5737940853221534,1.238933625029521e-5,2.708396300353462,3.8171401023864746,2.26
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.4330906389117152e6,1.433090638911716e6,1.330815974448149e6,1.516271082806295e6,0.7223377288742894,0.000127835310045162,4.480421633640694,4.1876301765441895,2.56
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.5147871555711327e6,1.5147871555711308e6,1.371032629245554e6,1.6159867193850814e6,1.105469005216249,0.0004813902773179796,10.71458124959011,4.225752830505371,2.93
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,611361.8751823609,611361.8751823605,548390.9452463384,750483.9027369982,0.27154016736429,2.9056577272178675e-5,1.1285614912757311,1.6229991912841797,1.07
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,690448.8518846508,690448.8518846503,564766.3641930277,815715.9094576805,0.4443814902197678,0.00030653050678462236,3.0426236272505487,1.9060909748077393,1.09
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,696347.6913901893,696347.6913901893,642392.0845071143,739873.3568661195,0.19065400745424935,6.025161114276904e-5,2.217907876921604,1.7639009952545166,0.98
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,733021.2923456206,733021.2923456175,671756.8758930537,782856.1010884206,0.18138014348570566,7.257335652180331e-6,2.440662822649631,1.840228796005249,1.07
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.2625085970204081e6,1.2625085970204044e6,1.1487136720544472e6,1.381509430711067e6,0.44072680632959504,8.996104926007883e-5,2.6417210247283602,3.5668210983276367,2.26
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.485559806768073e6,1.4855598067680728e6,1.375852673484878e6,1.6178883072126184e6,0.6791551805177555,0.00015107036525364997,4.466905060697075,4.177382946014404,2.75
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.5197510934571559e6,1.5197510934571535e6,1.3858838753735523e6,1.623047672364893e6,NaN,NaN,NaN,3.639835834503174,2.42
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.3352143097558178e6,1.335214309755816e6,1.1445759077540548e6,1.499931701628564e6,0.6677362093823987,4.029797544573205e-5,5.359193911455143,4.041413068771362,2.62
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,533670.6204041386,533670.6204041385,475538.2218192986,606585.0263416894,0.25922374197949827,9.308901501845231e-6,1.7047692712618163,1.5969319343566895,0.88
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,702817.451844545,702817.451844543,617657.9735860862,803844.8079681634,0.11775832585221876,0.00014441962009392154,1.0947965979905396,1.851193904876709,1.28
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,759639.3975753885,759639.3975753968,604619.4381705705,974822.3730308944,0.4725303494481469,5.339252931609012e-5,1.8349979932038962,1.7872259616851807,1.22
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,566820.6861352671,566820.686135267,385190.78040976654,735161.189150869,0.3890307491257816,3.24321389718683e-5,3.7101105416998323,2.01042103767395,1.21
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.4482569885470665e6,1.4482569885470665e6,1.3516368089268939e6,1.5464623277252645e6,0.6468598290481862,0.00021158217508085152,3.171883056120738,4.1694090366363525,2.86
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.355759671646599e6,1.3557596716466048e6,1.2055883825148738e6,1.5140953216861028e6,0.5178845720756534,4.3805733203969115e-5,2.4813857427847643,3.84971284866333,2.54
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.260081692231701e6,1.2600816922317005e6,995312.4575486444,1.5679032894951403e6,0.4925089745430816,6.814241580589431e-6,4.075116222898733,3.8649659156799316,2.73
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,PEA,inst/inst2020,true,1.4114373215091506e6,1.4114373215091594e6,1.1905967911884685e6,1.666179732208832e6,0.8592760466202009,8.951879118698568e-5,8.882629644979406,3.561021089553833,2.06
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,inst/inst2020,true,565564.1217465522,565564.121746553,473645.15069953195,664524.3413836589,0.24942330608358604,7.058913995015889e-6,1.2921263897381958,1.7273170948028564,1.0
