InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,InstanceID,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
2,Drahi_2.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4085893656681722e6,1.4085893656683227e6,1.217054607950189e6,1.5907936273173727e6,1.1351412493794046,1.2372161136412407e-6,49.89937039790218,302.6844654083252,289.34
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,665614.988443946,665614.9884439447,588821.1850258323,763500.0359181401,0.3574092086186524,1.5403406400501483e-6,1.927847212750096,104.63372921943665,100.3
3,Drahi_3.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,762220.8867625442,762220.8867625507,694150.0980989888,859894.9275258731,0.49244088177293865,0.00023960338991657485,3.0039764475760715,33.63201451301575,28.85
3,Drahi_3.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,717457.2252340792,717457.2252340764,611414.4191411298,967836.530999904,1.3456355097329165,0.00018387493897713695,225.78041316839114,42.61794900894165,38.32
3,Drahi_3.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,772948.6230455413,772948.6230455239,646183.3322044043,977397.4673952123,1.097614494096748,7.43739744784215e-5,78.0734728313352,48.24951195716858,41.89
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4261312214573086e6,1.4261312214572893e6,1.354630915834362e6,1.5153309954261263e6,0.7593380516536059,3.746208170620733e-5,5.670275450056791,344.4187641143799,334.02
3,Drahi_3.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4436578834752375e6,1.4436578834752725e6,1.2801746027640537e6,1.5974856808417123e6,0.7690303784160788,0.00010512939496575435,4.289030263827917,355.470162153244,340.78
3,Drahi_3.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.5143978783993681e6,1.5143978783993642e6,1.392347937594179e6,1.7659805179885828e6,1.8063343449765203,1.757262121152377e-5,133.27183678998506,499.5274314880371,488.59
3,Drahi_3.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4272500772768399e6,1.4272500772769647e6,1.174016910652031e6,1.6581637004994196e6,1.30577395179562,1.3101539041168025e-5,30.766227679186514,411.03312611579895,398.84
4,Drahi_4.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,711508.7955749222,711508.7955749637,647454.6359205473,766123.916359076,0.09549968742745693,2.242312252966011e-6,0.7692783019650677,44.19246459007263,38.21
4,Drahi_4.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,681826.3649555102,681826.3649556274,595061.8589723817,822123.7175059059,0.3098358568584434,1.7348365467319223e-5,2.2493153391697134,52.96325421333313,48.29
4,Drahi_4.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,918696.9051704108,918696.9051707644,616182.8574173084,1.5238277014008735e6,0.860012984641632,1.4889759495533299e-5,12.09061003533187,196.7914731502533,190.23
4,Drahi_4.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,673886.8647045973,673886.8647047766,548437.2172633648,803927.703608672,0.13174789688968516,6.115018481877605e-7,1.7869851673815087,280.4815263748169,275.68
4,Drahi_4.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4872876589885862e6,1.487287658988531e6,1.4125241500058065e6,1.581420217529682e6,0.7820807827635077,2.383432211789222e-5,6.586198771771938,288.9054665565491,277.39
4,Drahi_4.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4313660395978165e6,1.431366039597909e6,1.2928562496060852e6,1.5469968527678926e6,0.639560414254255,1.299564503853407e-5,5.206815244570316,241.27567434310913,228.94
4,Drahi_4.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.5787718584671754e6,1.5787718584673593e6,1.3364328439029024e6,1.9904130676105788e6,2.6462404296133895,1.0120748869608348e-5,637.0216738085297,432.51474380493164,421.15
4,Drahi_4.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4389616838301588e6,1.438961683830222e6,1.2845218652116274e6,1.5992408681793208e6,3.5325329969339627,2.7426390650986086e-6,2939.9142954184886,384.07027411460876,372.88
5,Drahi_5.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,792391.9741129309,792391.974113157,652436.8404119841,985089.5047403983,0.49664522751690005,9.101567677070495e-6,3.2210151116581014,154.5276517868042,148.98
5,Drahi_5.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,785945.3582093425,785945.3582094028,614242.2946615831,933495.4474790255,0.46636580840578035,5.782288667924135e-7,3.6573460881671283,222.82324290275574,217.36
5,Drahi_5.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,914292.3023217208,914292.3023216994,659781.488207875,1.7993955586238406e6,0.5960012231175775,2.408480554441858e-5,2.798469764742146,54.36032319068909,49.1
5,Drahi_5.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,919358.9708673058,919358.970867498,653083.232899658,1.6322232216392923e6,0.9590226264052985,9.279907221615909e-7,16.16980302369275,53.576974391937256,49.23
5,Drahi_5.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3366652201162525e6,1.3366652201163578e6,1.2392389523316128e6,1.4393894360902836e6,0.5818108839548547,2.972100510209347e-6,3.4787263396259007,476.30758452415466,463.21
5,Drahi_5.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4991366929393336e6,1.499136692939362e6,1.3816619622271808e6,1.610840306250751e6,0.16113374874680925,2.9905073313378527e-6,1.1362083162239127,233.70227718353271,220.18
5,Drahi_5.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.5371090334738842e6,1.5371090334738486e6,1.3719538471547863e6,1.785451016871395e6,3.7802575928940247,7.554388649285618e-5,1167.2928649837183,566.1535229682922,554.9
5,Drahi_5.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.504515978777155e6,1.5045159787771816e6,1.327568971005578e6,1.763193626152339e6,3.7297406167622436,1.3914991029415808e-5,904.5449206914685,399.53981471061707,388.01
6,Drahi_6.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,605455.1981051565,605455.1981051537,487366.3215176073,748696.4183699989,0.30006995844992274,4.130836286509212e-5,4.700337711930072,22.840710163116455,19.5
6,Drahi_6.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,686442.4778999144,686442.4779001779,588904.3015202307,798115.9553760486,0.427093322509752,1.8037501496560767e-5,4.386867521542993,158.72853088378906,155.31
6,Drahi_6.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,839402.0364653544,839402.0364652182,641466.4346963847,1.2549914086735335e6,4.349265023983727,0.00011462441411208563,3498.0685686499055,151.50876712799072,147.61
6,Drahi_6.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,887680.4360869257,887680.4360869378,711503.266529728,1.457830754522292e6,1.390241596618813,0.00010049645518911717,16.249802173551892,32.80614185333252,28.8
6,Drahi_6.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.347375740154068e6,1.3473757401541942e6,1.2428069063235684e6,1.4830489256832697e6,0.6124787083057215,1.361363252679149e-5,4.608788720945429,241.08406567573547,230.88
6,Drahi_6.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3651204510475849e6,1.3651204510475446e6,1.2110003751603102e6,1.5064869195621575e6,0.5841849444330706,1.7050322775873448e-6,4.387900127479226,192.3576045036316,185.27
6,Drahi_6.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.407005018086473e6,1.4070050180864688e6,1.178753867801764e6,1.6084273116789276e6,0.6604064362292981,6.425438624522968e-6,8.626499194152348,104.42120218276978,97.19
6,Drahi_6.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.5437721506898697e6,1.543772150689912e6,1.3734047818801263e6,1.9611998816740427e6,2.8992361157902042,1.1620647997342073e-5,1132.0065146946895,156.26772785186768,149.1
7,Drahi_7.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,703151.8574924866,703151.8574925016,664006.5158698474,751571.3540888989,0.09442905819886907,2.0182899864786128e-5,0.7588017655907693,26.39455246925354,23.13
7,Drahi_7.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,853007.560823039,853007.5608230196,681758.3046489778,1.201949951838978e6,0.48742493783932456,5.462024441765648e-7,3.0594161163388174,30.338250160217285,27.17
7,Drahi_7.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,875565.6579745386,875565.657974163,620673.9362429839,1.3746461620257313e6,4.321357557177853,1.126746613040514e-5,6237.822504070639,129.08279085159302,125.81
7,Drahi_7.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,635091.0005004134,635091.000500499,493647.9975472159,873216.3718326085,0.31257393509065373,3.7429621323837524e-5,2.027717270177814,98.61375212669373,94.95
7,Drahi_7.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4572769930734348e6,1.4572769930735482e6,1.312797379060752e6,1.6265207946766657e6,0.5759428947786827,1.3861097239367893e-5,4.410589486258506,468.46109104156494,454.5
7,Drahi_7.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3929781698058047e6,1.392978169805873e6,1.258542210082885e6,1.5405456975586715e6,0.6024616363024988,1.4787121374702407e-5,8.510988080403678,282.9112024307251,269.98
7,Drahi_7.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.5342790677838204e6,1.5342790677839795e6,1.3073190304867076e6,1.8643691488869223e6,0.8504696154101725,2.2803124178765857e-5,11.708030473392414,303.9411039352417,290.75
7,Drahi_7.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3109635781093612e6,1.3109635781095438e6,1.010373362871258e6,1.5766296436519893e6,0.5369431064507836,7.258977596229477e-6,6.9308217637314185,257.3412244319916,249.29
8,Drahi_8.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,664192.4613486787,664192.4613488761,564276.2751791978,849307.6125055071,0.3476273691633732,1.9273963534449168e-5,1.70515988339827,235.982568025589,232.35
8,Drahi_8.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,609870.8032030618,609870.8032030629,518443.82684577873,729978.6431928714,0.21047993958041764,1.2564408850673573e-5,1.1806632621554827,30.634960174560547,27.0
8,Drahi_8.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,987268.9911995372,987268.9911994998,709482.9429389434,1.5491062534907067e6,0.4966964292045783,3.249985088365062e-7,2.664378019905968,276.8386170864105,273.61
8,Drahi_8.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,930369.5225145005,930369.5225148778,649401.0750540822,1.6186127804503893e6,0.7222397882698176,2.207375039104504e-6,3.5501148139393957,30.735795974731445,27.14
8,Drahi_8.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4047423173281183e6,1.4047423173282829e6,1.3165744497643749e6,1.4864762462090324e6,0.5707583487874551,1.9896119454349333e-5,3.125462008464178,332.2676627635956,324.04
