InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,Fairness,ExpectedCost_opt,RunTimeSec_opt,ModelSolveTimeSec_opt,Status_opt,ExpectedCost_restricted,RunTimeSec_restricted,ModelSolveTimeSec_restricted,Status_restricted,ExpectedCost_decomposed,RunTimeSec_decomposed,ModelSolveTimeSec_decomposed,Status_decomposed,GapPct_restricted,GapPct_decomposed,GapPct_opt,DecompBelowOpt
1,Drahi_1.csv,6,6,4,0.2,100.0,10.0,5,SA,731157.6037151434,399.2816359996796,152.73,True,739170.8598912839,39.55081295967102,31.25,True,767401.0782581776,19.14839768409729,8.21,True,1.095968384302326,4.956998923197209,0.0,False
1,Drahi_1.csv,6,6,4,0.2,100.0,10.0,10,SA,1417833.6686846835,1758.4134168624878,701.08,True,1429141.8611992877,654.2544839382172,618.0600000000001,True,1443565.1227655397,36.64369511604309,16.94,True,0.7975683441834747,1.8148429289824408,0.0,False
1,Drahi_1.csv,6,6,4,0.2,100.0,20.0,5,SA,690337.0512953098,697.9404909610748,439.9,True,698174.9841479872,120.38237714767456,102.12,True,721159.1712579522,19.17905807495117,11.38,True,1.135377688039596,4.464792944954854,0.0,False
1,Drahi_1.csv,6,6,4,0.2,100.0,20.0,10,SA,1531559.98121454,1603.2610528469086,800.87,True,1541312.683339512,490.5903890132904,464.69,True,1545723.2166268069,43.34181499481201,24.97,True,0.6367822510769727,0.924758780980639,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,10.0,5,SA,681243.5548341058,354.9623010158539,111.39,True,695947.1447262439,75.9130847454071,60.83,True,772875.2550560958,20.947865962982178,12.43,True,2.1583455414442287,13.450652057075807,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,10.0,10,SA,1444766.5050492878,1472.4206337928772,703.82,True,1460298.5571851437,268.6104729175568,239.99,True,1500452.565790031,63.449970722198486,40.22,True,1.075056217151582,3.8543294398179384,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,20.0,5,SA,712657.842480002,276.617479801178,26.54,True,719188.0652646936,36.57680177688599,27.37,True,746930.8443971546,16.2356219291687,7.47,True,0.9163195008093705,4.809180489459686,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,20.0,10,SA,1449005.4886101184,1665.3828151226044,856.1,True,1461264.1111536962,184.03742003440857,170.56,True,1502198.5055986762,84.58359789848328,48.22,True,0.8460024920496467,3.6710017599436595,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,10.0,5,SA,740093.9945943803,575.4191858768463,374.45,True,751269.7474735475,54.930997133255005,47.84,True,770762.8903085,41.083783864974976,23.83,True,1.5100450700579193,4.143919007332086,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,10.0,10,SA,1440985.55776272,1748.1605200767517,928.96,True,1456650.556845242,168.5238401889801,154.37,True,1478674.6426348174,40.29470992088318,20.94,True,1.0871031286977972,2.615507467723255,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,20.0,5,SA,717763.5924934114,689.2029190063477,441.01,True,728095.2535038574,52.55133891105652,46.89,True,746546.487577121,20.79472184181213,11.05,True,1.4394239438302092,4.010080113386882,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,20.0,10,SA,1494595.678711189,960.1209638118744,237.3,True,1499585.5870219988,369.1709270477295,355.38,True,1505094.2095300858,37.42252802848816,17.99,True,0.3338634241946137,0.7024328364143129,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,10.0,5,SA,694646.5116565125,266.3491189479828,72.38,True,714763.4155250004,83.41420531272888,77.08,True,747234.8577935812,20.537235021591187,12.0,True,2.895991490767802,7.570518998456088,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,10.0,10,SA,1512920.5007023837,2193.0460679531097,1375.44,True,1528102.4315686985,456.4746289253235,442.51,True,1533718.328996928,38.46780586242676,19.9,True,1.0034850383259686,1.3746808431037039,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,20.0,5,SA,665415.1611028332,214.471510887146,20.08,True,671323.3277089341,57.77269101142883,42.08,True,701059.5023859917,17.886351823806763,8.14,True,0.8878917931940178,5.356707115612291,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,20.0,10,SA,1401342.7784937914,1137.8694579601288,329.09,True,1423805.5409832022,218.5040922164917,204.68,True,1448577.7275110646,59.51507091522217,38.2,True,1.6029456057535363,3.370692006422793,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,5,SA,662490.4680782629,415.3548669815064,121.54,True,671314.1299759117,89.3791708946228,82.8,True,721942.1919295186,34.44719696044922,21.64,True,1.3318926569984235,8.97397422542725,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,10,SA,1427110.7737070392,1665.790445804596,848.49,True,1436547.4377450603,286.7861440181732,266.23,True,1466295.464398212,63.33701133728027,36.74,True,0.6612425756907792,2.745735748976741,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,20.0,5,SA,752554.2534207909,213.42846202850345,17.45,True,758179.151834844,14.629540920257568,8.66,True,769677.4779007806,34.64967226982117,16.01,True,0.7474409171810192,2.2753475117780253,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,20.0,10,SA,1441444.1897898074,1323.5779769420624,552.07,True,1451302.3368220634,305.63325905799866,292.44,True,1487732.1041416065,68.55708503723145,37.05,True,0.6839076463788452,3.211217935433819,0.0,False
3,Drahi_3.csv,6,6,4,0.6,100.0,10.0,5,SA,696010.5852234673,212.3890190124512,15.58,True,704096.7128165527,16.799007892608643,11.329999999999998,True,743857.4605479832,32.698508977890015,16.57,True,1.1617822723901883,6.874446501291898,0.0,False
