InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,ExpectedCost_NONE,ExpectedCost,PriceOfFairnessAbs,PriceOfFairnessPct
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,5,LEXMMFSA,624525.1250989909,685272.0956473439,60746.97054835304,9.726905789214532
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,5,PEA,624525.1250989909,648435.4063828941,23910.281283903285,3.828553940101828
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,5,SA,624525.1250989909,685301.1385640858,60776.01346509496,9.731556189266461
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,10,LEXMMFPEA,1365801.442182118,1389352.5688548775,23551.12667275942,1.7243448385244182
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,10,LEXMMFSA,1365801.442182118,1433183.2441778071,67381.80199568905,4.9334991100927725
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,10,PEA,1365801.442182118,1388056.5763147897,22255.134132671636,1.6294560428282299
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,10,SA,1365801.442182118,1433686.6929246588,67885.2507425407,4.970360159678962
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,570403.9770444895,599245.6666171006,28841.689572611125,5.056361935281804
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,570403.9770444895,647057.574343654,76653.59729916451,13.438475253335376
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,PEA,570403.9770444895,601372.0394178524,30968.062373362947,5.429145591484462
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,SA,570403.9770444895,648560.8545651141,78156.87752062466,13.70202184171109
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,10,LEXMMFPEA,1277488.3402194006,1329106.802496496,51618.4622770953,4.04062101014794
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,10,LEXMMFSA,1277488.3402194006,1416890.7176447583,139402.3774253577,10.91222307370854
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,10,PEA,1277488.3402194006,1329085.5050157914,51597.1647963908,4.0389538731546715
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,10,SA,1277488.3402194006,1415217.5948468165,137729.2546274159,10.781253361871137
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFPEA,567475.2830986741,640837.1147790538,73361.83168037969,12.927758065477425
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,567475.2830986741,682900.596030473,115425.31293179886,20.340148085661802
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,PEA,567475.2830986741,640210.3858459783,72735.10274730413,12.81731643890061
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,SA,567475.2830986741,682142.7280609058,114667.44496223168,20.206597252323494
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFPEA,1354724.9495981275,1435078.9352352875,80353.98563716002,5.931387449607143
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,1354724.9495981275,1469967.727466337,115242.7778682094,8.506728830999652
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,PEA,1354724.9495981275,1434308.707608876,79583.75801074854,5.874532541410466
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,SA,1354724.9495981275,1469801.0678140612,115076.11821593367,8.494426728471373
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,692300.9757429495,706059.4623216467,13758.486578697222,1.9873562309994102
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFSA,692300.9757429495,720936.951894348,28635.9761513985,4.136347795937674
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,PEA,692300.9757429495,706040.9848062114,13740.00906326191,1.98468723065379
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,SA,692300.9757429495,722381.772047594,30080.796304644435,4.345046065024383
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFPEA,1359504.0123378886,1447675.6942298408,88171.68189195218,6.4855771731285
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,1359504.0123378886,1479869.6257108457,120365.6133729571,8.853641642878923
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,PEA,1359504.0123378886,1446857.3631950223,87353.35085713374,6.425383821186039
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,SA,1359504.0123378886,1479055.8102599627,119551.7979220741,8.79378044030082
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,5,LEXMMFPEA,519447.0842855837,611792.7167663847,92345.63248080097,17.777678472833784
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,5,LEXMMFSA,519447.0842855837,732620.2884077135,213173.20412212983,41.03848314315123
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,5,PEA,519447.0842855837,601236.9532505558,81789.86896497209,15.745563203509162
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,5,SA,519447.0842855837,719268.2096466455,199821.12536106177,38.468042541019116
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFPEA,1289275.4883618655,1421541.8029706064,132266.31460874085,10.25896449616028
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,1289275.4883618655,1472353.296645769,183077.8082839034,14.200053435943266
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,PEA,1289275.4883618655,1410803.804642623,121528.31628075754,9.426093754033099
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,SA,1289275.4883618655,1468502.3950021532,179226.90664028772,13.90136617489027
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,5,LEXMMFPEA,568701.8527668074,642679.5878934575,73977.73512665008,13.008175508263056
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,5,LEXMMFSA,568701.8527668074,684387.0344949381,115685.18172813067,20.341973771547856
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,5,PEA,568701.8527668074,641745.1292428272,73043.27647601976,12.843861176230543
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,5,SA,568701.8527668074,683927.8450101119,115225.9922433045,20.26123032353689
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,10,LEXMMFPEA,1246923.7772731534,1314801.1006783468,67877.3234051934,5.443582409955446
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,10,LEXMMFSA,1246923.7772731534,1385547.5712792214,138623.79400606803,11.117262861826145
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,10,PEA,1246923.7772731534,1315511.796507856,68588.01923470269,5.500578342061535
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,10,SA,1246923.7772731534,1385764.446976069,138840.66970291547,11.134655721020932
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,5,LEXMMFPEA,553334.3877949498,622286.0319130284,68951.64411807864,12.461116756696166
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,5,LEXMMFSA,553334.3877949498,667106.4238238051,113772.03602885525,20.561172148045852
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,5,PEA,553334.3877949498,620269.3806434711,66934.99284852133,12.096662402504714
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,5,SA,553334.3877949498,664553.3901710464,111219.00237609656,20.099781403304213
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,10,LEXMMFPEA,1263404.0996547884,1352478.7071067558,89074.60745196743,7.0503655541648245
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,10,LEXMMFSA,1263404.0996547884,1411668.5451903804,148264.44553559204,11.735314581938091
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,10,PEA,1263404.0996547884,1351640.1025799168,88236.00292512844,6.983988966731863
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,10,SA,1263404.0996547884,1408236.576956347,144832.4773015587,11.46367004358563
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,5,LEXMMFPEA,451918.1044387714,510276.1030725067,58357.99863373535,12.91340135757762
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,5,LEXMMFSA,451918.1044387714,639947.4704623369,188029.36602356553,41.60695581272976
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,5,PEA,451918.1044387714,507292.2637479217,55374.1593091503,12.253140284768726
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,5,SA,451918.1044387714,627367.3626124767,175449.2581737053,38.82324174456176
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,10,LEXMMFPEA,1220639.7773984869,1415689.5011289327,195049.72373044584,15.979302603602637
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,10,LEXMMFSA,1220639.7773984869,1482733.7738707284,262093.9964722416,21.47185445904726
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,10,PEA,1220639.7773984869,1396795.7516199858,176155.97422149894,14.431446318825929
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,10,SA,1220639.7773984869,1480071.6721847283,259431.89478624146,21.253763771254523
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,5,LEXMMFPEA,658764.7786170327,676045.4916593967,17280.71304236399,2.623199297121194
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,5,LEXMMFSA,658764.7786170327,696667.8264664583,37903.04784942558,5.753654275354055
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,5,PEA,658764.7786170327,676217.1838227398,17452.405205707066,2.6492620389246513
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,5,SA,658764.7786170327,697950.3773236186,39185.59870658594,5.948344534880811
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,10,LEXMMFPEA,1413639.9752357083,1523834.9916612168,110195.01642550854,7.795125941252106
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,10,LEXMMFSA,1413639.9752357083,1540132.999829894,126493.02459418564,8.948036756890268
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,10,PEA,1413639.9752357083,1514636.9024172183,100996.92718151002,7.144458911093679
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,10,SA,1413639.9752357083,1533795.31769114,120155.34245543182,8.499713120760983
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,5,LEXMMFPEA,624454.8544918174,687806.0887008933,63351.23420907592,10.145046315739075
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,5,LEXMMFSA,624454.8544918174,702045.6044542388,77590.74996242137,12.42535779877392
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,5,PEA,624454.8544918174,687176.0349587714,62721.180466954014,10.044149711670773
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,5,SA,624454.8544918174,700437.1026482314,75982.24815641402,12.167772835755839
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,10,LEXMMFPEA,1422532.19931577,1445638.1539541278,23105.95463835774,1.624283418643991
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,10,LEXMMFSA,1422532.19931577,1479767.8842182804,57235.68490251037,4.023507160684336
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,10,PEA,1422532.19931577,1446032.3415132058,23500.14219743572,1.6519936918643499
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,10,SA,1422532.19931577,1480417.856878233,57885.657562462846,4.069198404809783
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,5,LEXMMFPEA,723874.4374824609,725174.6020844613,1300.1646020003827,0.17961189602470043
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,5,LEXMMFSA,723874.4374824609,729843.8502280306,5969.412745569716,0.824647540577692
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,5,PEA,723874.4374824609,726168.0952871385,2293.657804677612,0.31685851660332826
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,5,SA,723874.4374824609,729354.831215987,5480.393733526114,0.7570917620169315
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,10,LEXMMFPEA,1431196.6174125487,1478771.9139780432,47575.2965654945,3.3241621721762855
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,10,LEXMMFSA,1431196.6174125487,1497491.7207513736,66295.10333882482,4.632145054861806
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,10,PEA,1431196.6174125487,1479172.3461062403,47975.72869369155,3.3521410063438077
2,Drahi_2.csv,6,2,4,32,0.2,100.0,20.0,10,SA,1431196.6174125487,1498858.2472716442,67661.62985909544,4.727626451592687
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,5,LEXMMFPEA,658359.5362623247,719075.680600248,60716.14433792338,9.22233840229982
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,5,LEXMMFSA,658359.5362623247,732028.5566487138,73669.02038638911,11.189785569846373
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,5,PEA,658359.5362623247,716557.3877699473,58197.85150762263,8.839828133731716
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,5,SA,658359.5362623247,731078.6160043634,72719.07974203874,11.045496531406462
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,10,LEXMMFPEA,1425748.0133902973,1468106.4956446127,42358.4822543154,2.9709655462602282
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,10,LEXMMFSA,1425748.0133902973,1499283.0034175552,73534.99002725794,5.157642818831535
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,10,PEA,1425748.0133902973,1468335.9455621208,42587.93217182346,2.987058847134795
2,Drahi_2.csv,6,2,4,32,0.6,100.0,10.0,10,SA,1425748.0133902973,1498461.872347348,72713.8589570506,5.100049817649316
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,5,LEXMMFPEA,572335.5314805403,598537.8898587743,26202.35837823397,4.578146373413628
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,5,LEXMMFSA,572335.5314805403,643738.5940064836,71403.06252594327,12.475734704297494
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,5,PEA,572335.5314805403,595765.5725502681,23430.041069727857,4.093759653383409
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,5,SA,572335.5314805403,634578.207087134,62242.67560659372,10.875207318612894
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,10,LEXMMFPEA,1521412.4480735117,1526743.493065735,5331.044992223382,0.35040103681114326
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,10,LEXMMFSA,1521412.4480735117,1528078.3556666349,6665.907593123149,0.43813941456597477
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,10,PEA,1521412.4480735117,1526539.6951419406,5127.2470684289,0.3370057261540929
2,Drahi_2.csv,6,2,4,32,0.6,100.0,20.0,10,SA,1521412.4480735117,1527748.8992535805,6336.451180068776,0.4164847729550462
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFPEA,615377.7750255059,631735.0395491638,16357.264523657854,2.658085031260657
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,615377.7750255059,660763.111198574,45385.33617306803,7.375199107765457
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,PEA,615377.7750255059,632000.9758472076,16623.20082170167,2.701300160054152
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,SA,615377.7750255059,658568.2989719082,43190.523946402245,7.018538156437661
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,10,LEXMMFPEA,1413971.3943704122,1449606.0747449514,35634.680374539224,2.5201839666923385
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,10,LEXMMFSA,1413971.3943704122,1459724.233513113,45752.83914270089,3.235768370199094
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,10,PEA,1413971.3943704122,1449758.4993585197,35787.10498810746,2.5309638604140288
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,10,SA,1413971.3943704122,1460782.8334189649,46811.43904855265,3.3106355075447627
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFPEA,646870.806199481,682816.5723952509,35945.76619576989,5.556869447696947
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,646870.806199481,715923.2938980262,69052.48769854521,10.674849913886964
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,PEA,646870.806199481,683089.2608255331,36218.45462605206,5.599024454178733
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,SA,646870.806199481,712745.6409669123,65874.83476743125,10.183615358136425
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFPEA,1437585.5388035008,1473991.761328474,36406.2225249731,2.5324560899015385
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,1437585.5388035008,1489104.9676795502,51519.42887604935,3.5837470178594626
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,10,PEA,1437585.5388035008,1474689.4761194787,37103.93731597788,2.580989882999199
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,10,SA,1437585.5388035008,1487344.419037158,49758.88023365708,3.4612813561738585
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFPEA,606209.2334641219,653972.8482873905,47763.61482326861,7.879064221824571
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFSA,606209.2334641219,717412.582179333,111203.34871521103,18.344053929985634
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,PEA,606209.2334641219,653134.8575859853,46925.624121863395,7.740829656076272
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,SA,606209.2334641219,715915.1934929505,109705.96002882859,18.097045371929568
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFPEA,1430277.019511486,1470937.5223557155,40660.50284422957,2.8428410922883494
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,1430277.019511486,1491225.4007075906,60948.38119610469,4.261299060577911
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,10,PEA,1430277.019511486,1470819.6728572736,40542.653345787665,2.8346014648012097
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,10,SA,1430277.019511486,1490670.915844522,60393.89633303601,4.222531405396115
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,5,LEXMMFPEA,708990.3437181349,720232.2602562874,11241.916538152494,1.5856233639511759
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,5,LEXMMFSA,708990.3437181349,738749.7792088309,29759.435490695992,4.197438759832687
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,5,PEA,708990.3437181349,721715.018644157,12724.674926022068,1.7947599764603943
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,5,SA,708990.3437181349,739475.4415264825,30485.09780834755,4.299790269141826
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFPEA,1334275.0086394502,1410031.854041601,75756.84540215088,5.6777534549942255
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,1334275.0086394502,1425848.058747255,91573.05010780483,6.863131626903599
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,10,PEA,1334275.0086394502,1409362.5061749504,75087.49753550021,5.627587794817977
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,10,SA,1334275.0086394502,1424197.104134681,89922.09549523075,6.739397419046588
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,5,LEXMMFPEA,627769.8600414624,660806.8832561697,33037.023214707384,5.262601044995277
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,5,LEXMMFSA,627769.8600414624,683174.4484005722,55404.588359109825,8.825620961708884
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,5,PEA,627769.8600414624,659974.447325001,32204.587283538654,5.129998958760402
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,5,SA,627769.8600414624,682040.1765405708,54270.31649910845,8.644938209605039
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,10,LEXMMFPEA,1414827.136922607,1453915.182515202,39088.045592595125,2.76274355873719
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,10,LEXMMFSA,1414827.136922607,1468545.0722961584,53717.935373551445,3.796784354192797
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,10,PEA,1414827.136922607,1453827.4116222598,39000.2746996528,2.7565399109097077
2,Drahi_2.csv,8,2,3,128,0.2,100.0,10.0,10,SA,1414827.136922607,1466587.534490711,51760.39756810409,3.6584255572513418
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,5,LEXMMFPEA,750575.1432053258,750613.487423698,38.34421837213449,0.00510864484645545
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,5,LEXMMFSA,750575.1432053258,750679.9033531244,104.7601477985736,0.013957316432195733
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,5,PEA,750575.1432053258,750654.4891111101,79.3459057842847,0.010571347386410716
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,5,SA,750575.1432053258,750750.2287300186,175.0855246927822,0.023326848254670508
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,10,LEXMMFPEA,1416133.570760617,1454412.192054729,38278.621294111945,2.703037487738687
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,10,LEXMMFSA,1416133.570760617,1482746.0047829968,66612.4340223798,4.703824229419384
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,10,PEA,1416133.570760617,1455098.9979441725,38965.42718355544,2.751536153657228
2,Drahi_2.csv,8,2,3,128,0.2,100.0,20.0,10,SA,1416133.570760617,1482253.9732307752,66120.40247015818,4.669079515899363
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,5,LEXMMFPEA,659349.3663194119,743460.771005172,84111.40468576015,12.756727917292581
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,5,LEXMMFSA,659349.3663194119,766777.2353522752,107427.8690328633,16.293011644576524
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,5,PEA,659349.3663194119,737503.2568816426,78153.89056223072,11.853183540388851
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,5,SA,659349.3663194119,764121.2235558238,104771.85723641189,15.890188508296333
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,10,LEXMMFPEA,1470233.0695842835,1473962.5945301675,3729.5249458840117,0.2536689605912997
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,10,LEXMMFSA,1470233.0695842835,1470699.6719880488,466.60240376531146,0.031736628254270316
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,10,PEA,1470233.0695842835,1473839.1101809526,3606.040596669074,0.24526999638830746
2,Drahi_2.csv,8,2,3,128,0.6,100.0,10.0,10,SA,1470233.0695842835,1470700.9499911931,467.88040690962225,0.03182355346162347
2,Drahi_2.csv,8,2,3,128,0.6,100.0,20.0,5,LEXMMFPEA,740050.8713976082,740050.8713976082,0.0,0.0
2,Drahi_2.csv,8,2,3,128,0.6,100.0,20.0,5,LEXMMFSA,740050.8713976082,740050.8713976082,0.0,0.0
2,Drahi_2.csv,8,2,3,128,0.6,100.0,20.0,5,PEA,740050.8713976082,740050.8713976084,2.3283064365386963e-10,3.1461437673083475e-14
