InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,ExpectedCost_NONE,ExpectedCost,PriceOfFairnessAbs,PriceOfFairnessPct
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,5,LEXMMFPEA,706695.4509321759,707632.3716187036,936.9206865277374,0.13257771580273794
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,5,LEXMMFSA,706695.4509321759,709914.960132532,3219.509200356202,0.45557236799946377
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,5,PEA,706695.4509321759,707611.2121311891,915.7611990132136,0.12958357066049694
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,5,SA,706695.4509321759,714785.4861347029,8090.0352025270695,1.144769672969566
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,10,LEXMMFPEA,1313732.151141996,1386817.9149430548,73085.76380105875,5.563216500222442
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,10,LEXMMFSA,1313732.151141996,1448461.3633740323,134729.21223203628,10.255455201801935
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,10,PEA,1313732.151141996,1386399.397291394,72667.24614939792,5.53135934796374
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,10,SA,1313732.151141996,1450909.8064937564,137177.65535176033,10.441828285355966
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,5,LEXMMFPEA,557264.763027101,644966.2863512642,87701.52332416316,15.737855529885358
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,5,LEXMMFSA,557264.763027101,714698.8842337794,157434.12120667833,28.251224848936296
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,5,PEA,557264.763027101,643529.1023963669,86264.33936926583,15.479955865264461
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,5,SA,557264.763027101,714637.8697142919,157373.10668719083,28.240275920610724
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,10,LEXMMFPEA,1364930.3358231129,1486710.2810497002,121779.94522658736,8.922063055558707
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,10,LEXMMFSA,1364930.3358231129,1513046.9881825987,148116.65235948586,10.85159062496512
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,10,PEA,1364930.3358231129,1486845.9316011262,121915.59577801335,8.932001332104097
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,10,SA,1364930.3358231129,1513504.3679117302,148574.03208861733,10.885100007614723
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,5,LEXMMFPEA,728671.8400285691,728679.1609403861,7.320911817019805,0.0010046925673335714
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,5,LEXMMFSA,728671.8400285691,728671.8400285691,0.0,0.0
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,5,PEA,728671.8400285691,728679.0886395259,7.248610956827179,0.0009947702873412787
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,5,SA,728671.8400285691,728675.0996950303,3.2596664611482993,0.0004473435478198934
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,10,LEXMMFPEA,1302456.7465434894,1336981.7401107196,34524.99356723018,2.650759317639834
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,10,LEXMMFSA,1302456.7465434894,1392059.951451375,89603.20490788552,6.879553209400467
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,10,PEA,1302456.7465434894,1336645.8241106144,34189.07756712497,2.624968365195795
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,10,SA,1302456.7465434894,1386168.949343257,83712.20279976749,6.427253958484703
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,5,LEXMMFPEA,624525.1250989909,648863.0223631198,24337.8972641289,3.8970245208743526
