InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,RegretExpected_SA,RegretExpected_PEA,RegretExpected_LEXMMFSA,RegretExpected_LEXMMFPEA,RegretMin_SA,RegretMin_PEA,RegretMin_LEXMMFSA,RegretMin_LEXMMFPEA,RegretMax_SA,RegretMax_PEA,RegretMax_LEXMMFSA,RegretMax_LEXMMFPEA
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,5,0.0401131143528852,0.0658081023246986,0.0955535664330715,19.26217860140604,0.0001115850938092,0.0003451948988165,3.311657791950252e-05,0.0096276362352159,0.1227290639505655,0.2620742746787597,0.2424877542328243,339.5395949327768
1,Drahi_1.csv,6,2,4,32,0.2,100.0,10.0,10,0.0402183475084106,0.732308841882568,0.851795344820806,36.45713486410727,0.0004967535463223,0.0223294846296424,0.0012465496668774,0.0088378189427675,0.1393608797485546,2.053720877176848,3.422400384144546,366.6310839718293
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,5,0.0616637372214623,0.3187525654438323,0.3372916953908759,19.833991009669347,0.000272596342548,0.0011042895838474,0.0024544315963456,0.0013747894264501,0.1986499567594873,0.9315441724979548,1.181250852208078,379.1265828743676
1,Drahi_1.csv,6,2,4,32,0.2,100.0,20.0,10,0.0400752908226772,0.6295730566942968,0.5753089995354174,17.93286900664464,1.2326673696863206e-05,0.0055596807480638,0.0107804311672004,0.0,0.1970372830475463,2.536950759322265,2.105082097665322,209.82763077230425
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,5,0.0156749770649065,0.269036823595807,0.4223263952391886,23.033301751948084,0.0002960895758279,2.805431309619987e-05,0.0002975395843069,0.0,0.0691743451446955,2.674671825595535,6.018212536539351,237.1803188893216
1,Drahi_1.csv,6,2,4,32,0.6,100.0,10.0,10,0.0618937505501426,0.5772224883424056,0.7235127492729128,31.658013656179744,8.530079395826063e-05,0.0017864492505248,0.0079967698063365,0.0,0.2421835146177544,2.209503085514231,3.3414271855528925,396.9340999814271
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,5,0.0720534345577526,0.4829039245249314,0.6678944368840926,15.650892699836664,0.0007604099757772,0.0003042069584556,0.0063920649959703,0.0,0.2470594885673847,2.151551132437416,1.9947287999823495,294.462894733412
1,Drahi_1.csv,6,2,4,32,0.6,100.0,20.0,10,0.0401898925264564,0.7881148944874669,1.235420920663838,15.131120051379838,0.0010247616620127,0.0006032618456545,0.0002067548997828,0.0,0.2026140976141721,5.314707766113232,11.630926047625705,282.28491275316287
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,0.0728951720677887,0.2543011759604272,0.41719364991907,27.71531002064369,0.0001073514690855,0.0001710838859263,2.025164066166723e-05,0.0,0.3095157402945572,1.0,2.039543216127351,416.5040176225139
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,10,0.0461941941672878,0.4932013051602795,0.5810936936469038,26.916339031422154,8.095130697661548e-06,3.193878799724808e-05,1.5188969001736524e-05,0.000426277133185,0.2302411072119053,2.3193623491688125,2.9735378244858413,420.3318645729616
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,0.1363943964054008,0.2876629197482929,0.2998091458437852,26.988139332031647,3.774889184093704e-06,2.097360815893929e-05,1.1656874316642814e-05,0.0008232934412743,0.7679709911846492,1.3246301263146738,1.6029765208817233,397.6060639004004
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,0.0428946176025898,0.7462177148496999,0.8792742988912178,24.008056068502675,3.861427309128886e-06,3.312894841875242e-05,3.1809182071302554e-05,0.0,0.2255086044551154,5.238661027299294,5.6872066908091705,312.687041449596
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,0.0467436604950577,,14.097097656587724,15.305954497932913,3.2858297670465894e-06,,0.0007445647985929,0.0,0.3935476055366737,,469.5760517771362,308.280372702981
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,0.0641309158716683,0.8431862684948149,1.2062892410491808,27.83558655250373,3.549339140119382e-07,0.0001281543363546,6.493155760899329e-05,0.0,0.6800837047897099,8.849110192094006,12.520319330183128,518.700631893217
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,5,0.3020409608549703,0.352600024742694,0.5151914859551642,32.62657962038346,0.0002316929434093,0.000202490171076,2.717600586851504e-05,0.0,1.5689090930410747,3.0792190222351845,3.84660952283808,1023.2840286545938
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,0.0681865392651673,0.7721985432441104,1.7218686818962077,21.898470622447874,1.5438928020812025e-05,0.0003563595273631,0.0001887149736584,0.0,0.9788780898424796,4.978992612238923,197.6485005714205,429.601033726046
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,5,0.1161076848408252,0.3544582560245608,0.3548870240561607,17.54206193469803,0.000542834357625,0.0008035253054836,0.0010260161056156,0.0013200194362267,0.7009496227506301,1.245947021529306,1.9911915741746613,422.8637855757164
1,Drahi_1.csv,8,2,3,128,0.2,100.0,10.0,10,0.0724200560615974,0.5202106539537751,0.627981009331142,23.01878973263372,4.398642600245648e-05,0.0039008404526825,0.0003287143989392,0.0,0.4299022280223314,1.906147432620219,2.2805252837134766,311.4118401809707
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,5,0.0914845907633814,0.355701574403137,0.4869586863754144,26.543240965373627,0.0001276810771983,0.0020988792209801,0.0038668992794083,0.0034605010683772,0.4378237944868318,1.3926216785177674,2.0498003125233466,341.6416146673387
1,Drahi_1.csv,8,2,3,128,0.2,100.0,20.0,10,0.0564570974706336,0.6349573820659735,0.7995039638102136,26.498928584706363,6.104126713827171e-05,0.0001647718637679,0.0006186251146339,0.0,0.3507962963776557,2.6588337813530867,2.6948974208399243,389.484564534489
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,5,0.170036379254672,0.2948289971086282,0.4545605382980918,22.062894383951534,0.0001179168512539,0.000646351711215,0.0002816085220685,0.0059506433350566,1.075474618829473,1.7270660516573806,3.4611750231110623,473.258230384632
1,Drahi_1.csv,8,2,3,128,0.6,100.0,10.0,10,0.0709965529937506,0.5713908286846449,0.7935126873826239,46.95982351769142,2.1358667946652257e-05,0.0063487470584273,0.0006964204966494,0.0,4.081183879669999,2.490916048365087,5.811795713588571,824.0386609489
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,5,0.0557970275766403,,3.753526867943037,8.765321912823394,0.000408902880747,,0.0021171413586239,0.0,0.2627316936260727,,83.26268987904442,286.5865347264468
1,Drahi_1.csv,8,2,3,128,0.6,100.0,20.0,10,0.0831071956706725,0.8984959159162605,2.6946649441637462,27.02432939791892,0.0001382969722836,0.0016256466759894,0.004912585159809,0.0,7.208390246317642,9.25702035588303,248.1653408155005,450.66030643858176
2,Drahi_2.csv,6,2,4,32,0.2,100.0,10.0,5,0.0495579443926757,0.3845007435136754,0.232478839632247,22.83238303243822,6.174752778342763e-06,0.0031738289414903,0.000467395221588,0.0223131292182802,0.2050985310909024,1.1466854119771308,1.033381773997096,240.36527599461016
