ConfigID,Fairness,ConditionalStage,Node,NodeStage,NodeProbability,House,ConditionalPV,ConditionalESS,ConditionalPVPlusESS,ConditionalSavings,ConditionalTarget,ConditionalGap,AbsoluteConditionalGap
C0001,CLEXMMFPEA,2,13,2,0.5,1,588.0689764432645,9.076341886952633,597.1453183302172,112927.72174266994,,,
C0001,CLEXMMFPEA,2,13,2,0.5,2,588.0689764432645,0.9763418869526265,589.0453183302171,111191.91407075198,,,
C0001,CLEXMMFPEA,2,13,2,0.5,3,588.0689764432645,8.0,596.0689764432645,12475.034185391094,,,
C0001,CLEXMMFPEA,2,13,2,0.5,4,588.0689764432645,4.976341886952627,593.0453183302171,112624.04727171632,,,
C0001,CLEXMMFPEA,2,13,2,0.5,5,588.0689764432645,16.0,604.0689764432645,33354.987612833385,,,
C0001,CLEXMMFPEA,2,25,2,0.5,1,580.5707868211888,9.076341886952633,589.6471287081414,111584.41101233756,,,
C0001,CLEXMMFPEA,2,25,2,0.5,2,578.5707868211895,4.976341886952627,583.547128708142,110837.65256689338,,,
C0001,CLEXMMFPEA,2,25,2,0.5,3,578.5707868211896,4.0,582.5707868211896,11696.412289170315,,,
C0001,CLEXMMFPEA,2,25,2,0.5,4,578.5707868211895,0.9763418869526265,579.547128708142,110023.99062875562,,,
C0001,CLEXMMFPEA,2,25,2,0.5,5,576.5707868211887,19.999999999999996,596.5707868211887,34859.993420287676,,,
C0002,CLEXMMFPEA,2,13,2,0.5,1,269.4260941483927,12.0,281.4260941483927,52663.47998107411,,,
C0002,CLEXMMFPEA,2,13,2,0.5,2,267.4260941483925,4.0,271.4260941483925,54201.24405700392,,,
C0002,CLEXMMFPEA,2,13,2,0.5,3,267.4260941483925,4.0,271.4260941483925,52602.61920140518,,,
C0002,CLEXMMFPEA,2,13,2,0.5,4,267.4260941483925,4.0,271.4260941483925,56016.19666849401,,,
C0002,CLEXMMFPEA,2,13,2,0.5,5,265.42609414839256,15.71,281.13609414839254,22969.833255897305,,,
C0002,CLEXMMFPEA,2,25,2,0.5,1,233.43116288028423,8.0,241.43116288028423,45355.56557406964,,,
C0002,CLEXMMFPEA,2,25,2,0.5,2,233.4311628802842,8.0,241.4311628802842,48415.47029131542,,,
C0002,CLEXMMFPEA,2,25,2,0.5,3,233.43116288028423,4.0,237.43116288028423,47987.759320996294,,,
C0002,CLEXMMFPEA,2,25,2,0.5,4,233.43116288028423,4.0,237.43116288028423,48430.139260975644,,,
C0002,CLEXMMFPEA,2,25,2,0.5,5,233.4311628802842,15.71,249.1411628802842,15175.804680427944,,,
C0003,CLEXMMFPEA,2,13,2,0.5,1,346.1040952041192,20.0,366.1040952041192,72318.02141441675,,,
C0003,CLEXMMFPEA,2,13,2,0.5,2,346.10409520411906,0.0,346.10409520411906,67870.5120121511,,,
C0003,CLEXMMFPEA,2,13,2,0.5,3,346.1040952041192,0.0,346.1040952041192,70846.26341251761,,,
C0003,CLEXMMFPEA,2,13,2,0.5,4,346.1040952041192,17.9969304709717,364.10102567509085,74590.96463096674,,,
C0003,CLEXMMFPEA,2,13,2,0.5,5,346.10409520411923,0.0,346.10409520411923,67727.07293288657,,,
C0003,CLEXMMFPEA,2,25,2,0.5,1,362.7265164975836,16.0,378.7265164975836,73906.80122198493,,,
C0003,CLEXMMFPEA,2,25,2,0.5,2,362.7265164975836,0.0,362.7265164975836,72072.29148131472,,,
C0003,CLEXMMFPEA,2,25,2,0.5,3,362.39318316425016,0.0,362.39318316425016,74288.47753316097,,,
C0003,CLEXMMFPEA,2,25,2,0.5,4,365.0598498309171,12.808644325628293,377.86849415654535,77531.26382578327,,,
C0003,CLEXMMFPEA,2,25,2,0.5,5,362.3931831642502,4.0,366.3931831642502,73486.037533161,,,
C0004,CLEXMMFPEA,2,13,2,0.5,1,72.18466199247197,4.0,76.18466199247197,1468.6866199247015,,,
C0004,CLEXMMFPEA,2,13,2,0.5,2,74.6846619924718,8.880000000000003,83.5646619924718,16558.65026184969,,,
C0004,CLEXMMFPEA,2,13,2,0.5,3,72.18466199247197,3.22,75.40466199247197,3139.7719094725326,,,
C0004,CLEXMMFPEA,2,13,2,0.5,4,72.18466199247197,16.0,88.18466199247197,3956.0066199246794,,,
C0004,CLEXMMFPEA,2,13,2,0.5,5,72.18466199247197,4.0,76.18466199247197,2357.984119438159,,,
C0004,CLEXMMFPEA,2,25,2,0.5,1,48.56497693199026,4.0,52.56497693199026,1312.4897693198873,,,
C0004,CLEXMMFPEA,2,25,2,0.5,2,48.56497693199026,8.880000000000003,57.44497693199026,10285.507352004992,,,
C0004,CLEXMMFPEA,2,25,2,0.5,3,48.56497693199026,3.22,51.78497693199026,2783.5750588677183,,,
C0004,CLEXMMFPEA,2,25,2,0.5,4,48.56497693199026,16.0,64.56497693199026,3738.6097693198826,,,
C0004,CLEXMMFPEA,2,25,2,0.5,5,48.56497693199026,4.0,52.56497693199026,1418.0412348167156,,,
C0005,CLEXMMFPEA,2,13,2,0.5,1,50.715305503074156,8.0,58.715305503074156,59.51305503072217,,,
C0005,CLEXMMFPEA,2,13,2,0.5,2,53.15974994751867,20.49000000000001,73.64974994751867,15541.146554946696,,,
C0005,CLEXMMFPEA,2,13,2,0.5,3,50.715305503074156,7.220000000000001,57.935305503074154,1936.9392550307384,,,
C0005,CLEXMMFPEA,2,13,2,0.5,4,50.49308328085194,0.0,50.49308328085194,2172.7412146417773,,,
C0005,CLEXMMFPEA,2,13,2,0.5,5,50.715305503074156,4.0,54.715305503074156,2790.359701538022,,,
C0005,CLEXMMFPEA,2,25,2,0.5,1,49.67086806875514,12.0,61.67086806875514,2980.201319996675,,,
C0005,CLEXMMFPEA,2,25,2,0.5,2,49.67086806875514,20.49000000000001,70.16086806875515,14748.726070959645,,,
C0005,CLEXMMFPEA,2,25,2,0.5,3,49.67086806875514,7.220000000000001,56.89086806875514,1926.4948806875327,,,
C0005,CLEXMMFPEA,2,25,2,0.5,4,49.670868068755134,0.0,49.670868068755134,2244.5190625208197,,,
C0005,CLEXMMFPEA,2,25,2,0.5,5,49.67086806875514,0.0,49.67086806875514,376.70868068755954,,,
C0006,CLEXMMFPEA,2,5,2,0.25,1,263.46062365715517,4.822499999999994,268.28312365715516,7657.700036684515,,,
C0006,CLEXMMFPEA,2,5,2,0.25,2,263.46062365715557,10.95683732700148,274.41746098415706,57103.4458274154,,,
C0006,CLEXMMFPEA,2,5,2,0.25,3,263.46062365715574,11.610000000000008,275.07062365715575,20848.425258402036,,,
C0006,CLEXMMFPEA,2,5,2,0.25,4,263.46062365715517,9.04316267299852,272.5037863301537,56164.26832478175,,,
C0006,CLEXMMFPEA,2,5,2,0.25,5,263.46062365715557,4.447499999999994,267.90812365715556,7230.196453054953,,,
C0006,CLEXMMFPEA,2,9,2,0.25,1,285.3341747527267,5.002070312499993,290.3362450652267,6973.645325202102,,,
C0006,CLEXMMFPEA,2,9,2,0.25,2,285.33417475272665,10.25,295.58417475272665,60907.73269731139,,,
C0006,CLEXMMFPEA,2,9,2,0.25,3,285.33417475272717,11.610000000000008,296.9441747527272,27641.255659022052,,,
C0006,CLEXMMFPEA,2,9,2,0.25,4,289.3341747527264,9.75,299.0841747527264,61591.467178921106,,,
C0006,CLEXMMFPEA,2,9,2,0.25,5,281.3341747527269,4.2679296874999935,285.60210444022687,7960.502796630277,,,
C0006,CLEXMMFPEA,2,13,2,0.25,1,322.9813172506998,4.827460937499995,327.8087781881998,8581.724744569607,,,
C0006,CLEXMMFPEA,2,13,2,0.25,2,322.98131725069965,9.75,332.73131725069965,69121.42115643962,,,
C0006,CLEXMMFPEA,2,13,2,0.25,3,322.9813172507004,11.610000000000008,334.5913172507004,24693.831431934166,,,
C0006,CLEXMMFPEA,2,13,2,0.25,4,322.9813172507003,10.25,333.2313172507003,68746.30497460779,,,
C0006,CLEXMMFPEA,2,13,2,0.25,5,322.9813172506996,4.442539062499993,327.42385631319956,7898.3757830459035,,,
C0006,CLEXMMFPEA,2,17,2,0.25,1,341.27841564820415,5.3479691509369545,346.6263847991411,8349.732194189699,,,
C0006,CLEXMMFPEA,2,17,2,0.25,2,341.27841564820443,9.513801136196108,350.7922167844005,72211.14650067888,,,
C0006,CLEXMMFPEA,2,17,2,0.25,3,341.27841564820255,9.00161580845362,350.28003145665616,31510.045956880633,,,
C0006,CLEXMMFPEA,2,17,2,0.25,4,341.2784156482039,10.486198863803892,351.7646145120078,72032.04570164593,,,
C0006,CLEXMMFPEA,2,17,2,0.25,5,341.2784156482043,5.592505561244758,346.8709212094491,8602.851210579369,,,
C0006,CLEXMMFPEA,3,21,3,0.0625,1,168.25718470256015,3.785781250000002,172.04296595256017,5693.0361250724845,,,
C0006,CLEXMMFPEA,3,21,3,0.0625,2,184.25718470255828,11.0,195.25718470255828,40872.31444682211,,,
C0006,CLEXMMFPEA,3,21,3,0.0625,3,168.2571847025606,11.61000000000001,179.86718470256062,19861.39086885609,,,
C0006,CLEXMMFPEA,3,21,3,0.0625,4,168.2571847025605,9.0,177.2571847025605,36717.008651945005,,,
C0006,CLEXMMFPEA,3,21,3,0.0625,5,168.2571847025604,5.4842187499999975,173.7414034525604,6227.077392918739,,,
